"class","random","pdynamosa","p-value","d","magnitude"
"org.fixsuite.message.Library",0.529901960784314,0.543190249072602,0.379243084485164,0.451351351351351,"negligible"
"net.kencochrane.a4j.file.FileUtil",0.673987776928953,0.723389355742297,0.0000000000162205123507144,0.0834194214876033,"large"
"net.kencochrane.a4j.DAO.Product",0.297491039426523,0.296616837136113,0.890566388574002,0.505420054200542,"negligible"
"wheel.asm.Frame",0.329633055812519,0.419191919191919,0.00000000000189439275679597,0.0710831721470019,"large"
"weka.classifiers.rules.JRip",0.348693997578274,0.369140287147552,0.00000000217362070789522,0.116299821534801,"large"
"org.apache.commons.math3.ode.AbstractIntegrator",0.701086956521739,0.710662525879917,0.0193278555977234,0.63474025974026,"small"
"org.apache.commons.math3.ode.nonstiff.EmbeddedRungeKuttaIntegrator",0.957491582491582,0.96358024691358,0.0000100994514271136,0.251515151515152,"large"
"wheel.components.Component",0.702865524647703,0.866698865008452,0.00000000000000452525179324387,0,"large"
"org.firebirdsql.jdbc.FBCachedFetcher",0.573788206236493,0.632602655140475,0.00000000217106655948512,0.117192147531231,"large"
"org.apache.commons.imaging.common.itu_t4.T4AndT6Compression",0.899515738498789,0.935581958443606,0.000000000010848626782927,0.0771670190274841,"large"
"org.apache.bcel.classfile.Utility",0.734750245775011,0.759223715077842,0.000000724636520365061,0.189430894308943,"large"
"weka.filters.unsupervised.attribute.Discretize",0.541184041184041,0.638083538083538,0.000230981407856517,0.269209956709957,"medium"
"org.apache.commons.math3.ode.nonstiff.GraggBulirschStoerIntegrator",0.868846270009061,0.863938387194201,0.297947460675136,0.563818280151433,"negligible"
"org.apache.commons.imaging.common.mylzw.MyLzwCompressor",0.944755244755245,0.952998065764023,0.0164777838709596,0.357610474631751,"small"
"weka.core.Optimization",0.0933179723502304,0.0951612903225806,0.000000999741565070693,0.214285714285714,"large"
"org.apache.commons.imaging.common.mylzw.MyLzwDecompressor",0.774640522875817,0.843417366946779,0.000000113491836380911,0.174074074074074,"large"
"wheel.json.JSONObject",0.904377104377104,0.909484454939,0.0478652317764189,0.381632653061225,"small"
"weka.core.stemmers.LovinsStemmer",0.881639582828038,0.886109282422647,0.00155946161563453,0.299185463659148,"medium"
"org.apache.commons.math3.ode.MultistepIntegrator",0.939900705513457,0.951219512195122,0.000000000141253869601351,0.166761202495746,"large"
"com.werken.saxpath.XPathLexer",0.921955555555556,0.925276595744681,0.0685689902075531,0.391016548463357,"small"
"okhttp3.internal.http.HttpHeaders",0.726030995534542,0.839219064025266,0.000000000000000228325234906107,0,"large"
"umd.cs.shop.JSTerm",0.792138364779874,0.764544025157233,0.000442342837930397,0.728125,"medium"
"com.pmdesigns.jvc.tools.JVCParserTokenManager",0.192007575757576,0.365835181079084,0.0000000000000105748156844393,0.000609756097560976,"large"
"com.alibaba.fastjson.parser.JSONReaderScanner",0.786231884057971,0.828799249530957,0.0000000000000177920031270024,0.0235949098621421,"large"
"wheel.asm.FieldWriter",1,1,NA,0.5,"negligible"
"org.apache.commons.jxpath.ri.compiler.Path",0.912546693034498,0.927299392415672,0.0000000452281649121526,0.175836642087351,"large"
"org.la4j.linear.GaussianSolver",0.997747747747748,1,0.504246537784881,0.486111111111111,"negligible"
"weka.classifiers.functions.supportVector.RegSMO",0.684544695071011,0.722437673130194,0.000000000000479709042553082,0.031015037593985,"large"
"org.freehep.math.minuit.MnLineSearch",0.984615384615385,0.990384615384615,0.000000000958325767725122,0.2,"large"
"com.alibaba.fastjson.util.JavaBeanInfo",0.475777594274704,0.485855666491505,0.00000000344858514236717,0.135010822510822,"large"
"org.firebirdsql.jdbc.FBProcedureCall",0.947258703356264,0.95027195027195,0.000124191684793492,0.339246119733925,"small"
"org.freehep.math.minuit.SimplexBuilder",0.92734375,0.956153100775194,0.000000000530684647850416,0.150290697674419,"large"
"org.freehep.math.minuit.MnHesse",0.957442434210526,0.9609375,0.000038082317161049,0.251399776035834,"large"
"okio.RealBufferedSource",0.566820276497696,0.844045597865632,0.0000000000000055120336935679,0,"large"
"org.freehep.math.minuit.MnFunctionCross",0.921149348479786,0.951902587519026,0.00000000000363703378499184,0.0658536585365854,"large"
"org.apache.bcel.util.Class2HTML",0.952380952380952,0.954761904761905,0.478490436808985,0.468217054263566,"negligible"
