"class","random","adynamosa","p-value","d","magnitude"
"org.fixsuite.message.Library",0.0588636363636364,0.0724815724815725,0.201333256790071,0.428378378378378,"negligible"
"net.kencochrane.a4j.file.FileUtil",0.136238898313542,0.185161161560722,0.00000000000000176791241628904,0.0074896694214876,"large"
"net.kencochrane.a4j.DAO.Product",0.340740740740741,0.222764227642276,0.00482229603341188,0.677506775067751,"medium"
"wheel.asm.Frame",0.0607130770826283,0.0875274033303792,0.000000000000784046934866222,0.0635880077369439,"large"
"weka.classifiers.rules.JRip",0.229704774923855,0.238026716550351,0.0181931528431462,0.348304580606782,"small"
"org.apache.commons.math3.ode.AbstractIntegrator",0.269132653061224,0.298955296404276,0.0000254323814364305,0.236742424242424,"large"
"org.apache.commons.math3.ode.nonstiff.EmbeddedRungeKuttaIntegrator",0.578114478114478,0.613168724279835,0.0138889037902954,0.348737373737374,"small"
"wheel.components.Component",0.250533049040512,0.296768191562513,0.00000000000016705329997906,0.0299070847851336,"large"
"org.firebirdsql.jdbc.FBCachedFetcher",0.539571926331508,0.588020574083292,0.0000000397722831767285,0.147531231409875,"large"
"org.apache.commons.imaging.common.itu_t4.T4AndT6Compression",0.135061835539163,0.236734750513404,0.000000000000428431946068589,0.0486257928118393,"large"
"org.apache.bcel.classfile.Utility",0.50942921800352,0.593554791905307,0.000000000000143500909187775,0.0363143631436314,"large"
"weka.filters.unsupervised.attribute.Discretize",0.18305531167691,0.24245749860324,0.000000342959704409967,0.180465367965368,"large"
"org.apache.commons.math3.ode.nonstiff.GraggBulirschStoerIntegrator",0.0740389178927385,0.0710452338359315,0.414121580116178,0.55137912385073,"negligible"
"org.apache.commons.imaging.common.mylzw.MyLzwCompressor",0.254358974358974,0.31431131019037,0.000947726257258293,0.291871249318058,"medium"
"weka.core.Optimization",0.133053221288515,0.155012004801921,0.0000969056793585794,0.223214285714286,"large"
"org.apache.commons.imaging.common.mylzw.MyLzwDecompressor",0.173375931842386,0.309980222120797,0.0000000000181327462641687,0.0812169312169312,"large"
"wheel.json.JSONObject",0.421502590673575,0.466955694194776,0.00000000000607180464308357,0.0877551020408163,"large"
"weka.core.stemmers.LovinsStemmer",0.76082995951417,0.759981684981685,0.96918537156348,0.49718045112782,"negligible"
"org.apache.commons.math3.ode.MultistepIntegrator",0.31965976306456,0.373481495432715,0.00000000000703140224793074,0.0660805445263755,"large"
"com.werken.saxpath.XPathLexer",0.571505648288653,0.590611177477158,0.000233122697744354,0.277068557919622,"medium"
"okhttp3.internal.http.HttpHeaders",0.427141657334826,0.56984394124847,0.000000000000000325815416518233,0,"large"
"umd.cs.shop.JSTerm",0.550698924731183,0.637688172043011,0.00000000234781037572123,0.111875,"large"
"com.pmdesigns.jvc.tools.JVCParserTokenManager",0.0792487932421561,0.135853462315798,0.00000000000000979763044866831,0,"large"
"com.alibaba.fastjson.parser.JSONReaderScanner",0.174167467631594,0.268810724518168,0.0000000000000263555134992953,0.0249204665959703,"large"
"wheel.asm.FieldWriter",0.370444072056975,0.391062051227092,0.00000107438983353367,0.197145877378436,"large"
"org.apache.commons.jxpath.ri.compiler.Path",0.61154949784792,0.657888736890105,0.0000000245579308376757,0.146625070901872,"large"
