"class","random","adynamosa","p-value","d","magnitude"
"org.fixsuite.message.Library",0.1575,0.154791154791155,0.379243084485164,0.451351351351351,"negligible"
"net.kencochrane.a4j.file.FileUtil",0.837590506838295,0.874673169750603,0.0000000950954696367558,0.169679752066116,"large"
"net.kencochrane.a4j.DAO.Product",0.52962962962963,0.533333333333333,0.297802033294806,0.486111111111111,"negligible"
"wheel.asm.Frame",0.367042245645427,0.428562895711385,0.000000000475219292070991,0.120647969052224,"large"
"weka.classifiers.rules.JRip",0.523714783975634,0.562842335371994,0.0000000000319344931174479,0.0740630577037478,"large"
"org.apache.commons.math3.ode.AbstractIntegrator",0.880187747035573,0.909549689440994,0.00000000000233352948719895,0.0643939393939394,"large"
"org.apache.commons.math3.ode.nonstiff.EmbeddedRungeKuttaIntegrator",0.9859900373599,0.986301369863014,0.322748053511121,0.488636363636364,"negligible"
"wheel.components.Component",0.635701732362541,0.751725320416649,0.0000000000000624123593342696,0.021486643437863,"large"
"org.firebirdsql.jdbc.FBCachedFetcher",0.921417023968511,0.93463133478597,0.00000205546323800634,0.196311719214753,"large"
"org.apache.commons.imaging.common.itu_t4.T4AndT6Compression",0.834222873900293,0.933893473368342,0.00000000000000505274292898672,0.0134778012684989,"large"
"org.apache.bcel.classfile.Utility",0.8582831802344,0.865945165945166,0.0112383470808879,0.340921409214092,"small"
"weka.filters.unsupervised.attribute.Discretize",0.528451212181927,0.634801734030346,0.0016819956880721,0.303030303030303,"medium"
"org.apache.commons.math3.ode.nonstiff.GraggBulirschStoerIntegrator",0.917794908337112,0.948565135712898,0.0000000000000129176392047887,0.0194699837750135,"large"
"org.apache.commons.imaging.common.mylzw.MyLzwCompressor",0.955601445534331,0.962539863867866,0.00257606389591141,0.312875068194217,"medium"
"weka.core.Optimization",0.271521135452021,0.278617710583153,0.00000000000210502169123976,0.0238095238095238,"large"
"org.apache.commons.imaging.common.mylzw.MyLzwDecompressor",0.819552414605418,0.886000336530372,0.00000000144521919498525,0.124338624338624,"large"
"wheel.json.JSONObject",0.902031993082577,0.90648243733291,0.0167173446949444,0.356689342403628,"small"
"weka.core.stemmers.LovinsStemmer",0.91831983805668,0.917490842490843,0.00102278132737579,0.31328320802005,"medium"
"org.apache.commons.math3.ode.MultistepIntegrator",0.855111259829346,0.863309352517986,0.0895313195122275,0.465116279069767,"negligible"
"com.werken.saxpath.XPathLexer",0.801820940819423,0.79637103283505,0.28570527404873,0.564775413711584,"negligible"
"okhttp3.internal.http.HttpHeaders",0.600853863381859,0.824433904528764,0.000000000000000322293218403067,0,"large"
"umd.cs.shop.JSTerm",0.731512605042017,0.769905462184874,0.000173814664853144,0.2559375,"large"
"com.pmdesigns.jvc.tools.JVCParserTokenManager",0.183598130841122,0.427307955322544,0.000000000000013175747842408,0.0024390243902439,"large"
"com.alibaba.fastjson.parser.JSONReaderScanner",0.859418100617365,0.907707611819321,0.0000000000000014615795121376,0.00238600212089077,"large"
"wheel.asm.FieldWriter",0.940795454545455,0.970232558139535,0.00000000000000101914781491619,0.00581395348837209,"large"
"org.apache.commons.jxpath.ri.compiler.Path",0.866995073891626,0.880513231756215,0.0000000283969675000581,0.154849688031764,"large"
"org.la4j.linear.GaussianSolver",0.943817204301075,0.970430107526882,0.00000000571993245530227,0.0131172839506173,"large"
"weka.classifiers.functions.supportVector.RegSMO",0.565725691474194,0.597489232062191,0.000000000000371971971025654,0.0278822055137845,"large"
"org.freehep.math.minuit.MnLineSearch",0.827609427609428,0.840909090909091,0.0000000000345959835414327,0.155555555555556,"large"
"com.alibaba.fastjson.util.JavaBeanInfo",0.69047619047619,0.700980392156863,0.000154932161532067,0.357142857142857,"small"
"org.firebirdsql.jdbc.FBProcedureCall",0.914809868559781,0.933783075713912,0.000000000000157839079962978,0.0382483370288248,"large"
"org.freehep.math.minuit.SimplexBuilder",0.984251968503937,0.984251968503937,NA,0.5,"negligible"
"org.freehep.math.minuit.MnHesse",0.946435237028742,0.971631205673759,0.00000000000000457977317449179,0.0657894736842105,"large"
"okio.RealBufferedSource",0.450292397660819,0.745285531642872,0.00000000000000760111470372716,0.00233918128654971,"large"
"org.freehep.math.minuit.MnFunctionCross",0.962285456187895,0.990740740740741,0.0000000000104253674342871,0.146341463414634,"large"
"org.apache.bcel.util.Class2HTML",0.963764196863169,0.967700258397933,0.00000000100715858689811,0.164082687338501,"large"
"weka.classifiers.bayes.net.search.ci.ICSSearchAlgorithm",0.523152160455615,0.703189893862483,0.00000000071295327162058,0.111419068736142,"large"
"org.apache.bcel.generic.ConstantPoolGen",0.930087962405109,0.9398458233287,0.00000690534315997719,0.215258082813386,"large"
"okio.Utf8",0.979591836734694,1,0.0000000000984765943723257,0.166666666666667,"large"
"org.apache.commons.jxpath.ri.model.beans.PropertyIterator",0.909403928652066,0.919325011558021,0.00000046520653186417,0.183001107419712,"large"
"okhttp3.HttpUrl",0.688328295745176,0.719773053345507,0.0000101465867103561,0.224549310710498,"large"
"org.apache.commons.imaging.formats.tiff.TiffField",0.931203931203931,0.945945945945946,0.00000000000000000171990941557272,0,"large"
"okio.SegmentedByteString",0.684489840427465,0.90763525456625,0.0000000000000219846277453882,0.0158820192853091,"large"
