"class","non-adaptive","pdynamosa","p-value","d","magnitude"
"com.werken.saxpath.XPathLexer",0.861019283746556,0.873527343063126,0.000000182521162164658,0.051063829787234,"large"
"okhttp3.internal.http.HttpHeaders",0.769944341372913,0.823618242222893,0.0000010147852460978,0.0647840531561462,"large"
"umd.cs.shop.JSTerm",0.734375,0.744921875,0.368069063854044,0.417857142857143,"small"
"com.pmdesigns.jvc.tools.JVCParserTokenManager",0.217755302711055,0.389966390182233,0.0000000134407243660497,0,"large"
"com.alibaba.fastjson.parser.JSONReaderScanner",0.729487179487179,0.772279549718574,0.000000811127721014103,0.0682926829268293,"large"
"wheel.asm.FieldWriter",1,1,NA,0.5,"negligible"
"org.apache.commons.jxpath.ri.compiler.Path",0.921636615811373,0.930909911944006,0.000474209352356189,0.213455149501661,"large"
"org.la4j.linear.GaussianSolver",1,1,NA,0.5,"negligible"
"weka.classifiers.functions.supportVector.RegSMO",0.535166093928981,0.638813528667028,0.000000024363818323906,0.00614035087719298,"large"
"org.freehep.math.minuit.MnLineSearch",0.966315789473684,0.965311004784689,0.00319632750938797,0.265909090909091,"medium"
"com.alibaba.fastjson.util.JavaBeanInfo",0.400711623178584,0.410342410893072,0.0000077020014922426,0.097027972027972,"large"
"org.firebirdsql.jdbc.FBProcedureCall",0.89094387755102,0.895871985157699,0.188279960208552,0.392045454545455,"small"
"org.freehep.math.minuit.SimplexBuilder",0.911688311688312,0.915856236786469,0.451945655655513,0.43936877076412,"negligible"
"org.freehep.math.minuit.MnHesse",0.966931216931217,0.972306653157717,0.0163035137837575,0.283687943262411,"medium"
"okio.RealBufferedSource",0.634103641456583,0.723813209494324,0.000608205244719377,0.18703007518797,"large"
"org.freehep.math.minuit.MnFunctionCross",0.885093167701863,0.896894409937888,0.0772396844931016,0.342857142857143,"small"
"org.apache.bcel.util.Class2HTML",0.818059299191375,0.826415094339623,0.0753629583759511,0.369047619047619,"small"
"weka.classifiers.bayes.net.search.ci.ICSSearchAlgorithm",0.351810237203496,0.597208035410283,0.00057696755094515,0.203030303030303,"large"
"org.apache.bcel.generic.ConstantPoolGen",0.768840296759079,0.794478147827164,0.00425158374861616,0.234521575984991,"large"
"okio.Utf8",0.444444444444444,0.444444444444444,NA,0.5,"negligible"
"org.apache.commons.jxpath.ri.model.beans.PropertyIterator",0.858974358974359,0.90266106442577,0.00000834504183438442,0.0906593406593407,"large"
"okhttp3.HttpUrl",0.812816616008105,0.847344750043245,0.0000297954565335953,0.122822299651568,"large"
"org.apache.commons.imaging.formats.tiff.TiffField",0.835023041474654,0.86494623655914,0.000000000100767761745183,0,"large"
"okio.SegmentedByteString",0.868466898954704,0.950085082246171,0.00000000531871088454575,0.0166112956810631,"large"
"com.alibaba.fastjson.parser.DefaultJSONParser",0.336036036036036,0.357732732732733,0.173485855093443,0.347916666666667,"small"
"accessories.plugins.time.JDayChooser",0.756610576923077,0.790934065934066,0.0000848911721043722,0.05,"large"
"wheel.asm.ClassWriter",0.958885941644562,0.975637181409295,0.000000109889440926051,0.0376254180602007,"large"
"com.google.re2j.RE2",0.93609022556391,0.936352509179927,0.701396013607544,0.466777408637874,"negligible"
"okio.Timeout",0.903571428571429,0.90625,0.437155828720634,0.439285714285714,"negligible"
"org.apache.commons.imaging.common.RationalNumber",0.962009803921569,0.958960328317373,0.152352489828494,0.603682170542636,"small"
"com.alibaba.fastjson.JSONArray",0.811079545454545,0.946881606765328,0.0000000205916852169845,0.0225290697674419,"large"
"okio.ByteString",0.962452107279694,0.972868217054264,0.000144329096187722,0.174418604651163,"large"
"org.firebirdsql.encodings.EncodingFactory",0.963760683760684,0.96386404293381,0.0000000000611526051607854,0.0449612403100775,"large"
"weka.core.FindWithCapabilities",0.822598454177402,0.791812865497076,0.00199726785890489,0.803030303030303,"large"
"org.apache.commons.jxpath.util.MethodLookupUtils",0.920388349514563,0.93252427184466,0.00765953050610548,0.275,"medium"
