"class","non-adaptive","adynamosa","p-value","d","magnitude"
"com.werken.saxpath.XPathLexer",1,1,NA,0.5,"negligible"
"okhttp3.internal.http.HttpHeaders",1,1,NA,0.5,"negligible"
"umd.cs.shop.JSTerm",0.990375695732839,0.990771836983606,0.768312596268984,0.480357142857143,"negligible"
"com.pmdesigns.jvc.tools.JVCParserTokenManager",1,1,NA,0.5,"negligible"
"com.alibaba.fastjson.parser.JSONReaderScanner",1,0.997782705099778,0.403995427736604,0.524390243902439,"negligible"
"wheel.asm.FieldWriter",1,1,NA,0.5,"negligible"
"org.apache.commons.jxpath.ri.compiler.Path",1,0.998211091234347,0.596222560700163,0.511627906976744,"negligible"
"org.la4j.linear.GaussianSolver",1,1,NA,0.5,"negligible"
"weka.classifiers.functions.supportVector.RegSMO",1,1,NA,0.5,"negligible"
"org.freehep.math.minuit.MnLineSearch",1,1,NA,0.5,"negligible"
"com.alibaba.fastjson.util.JavaBeanInfo",1,1,NA,0.5,"negligible"
"org.firebirdsql.jdbc.FBProcedureCall",1,1,NA,0.5,"negligible"
"org.freehep.math.minuit.SimplexBuilder",1,1,NA,0.5,"negligible"
"org.freehep.math.minuit.MnHesse",1,1,NA,0.5,"negligible"
"okio.RealBufferedSource",1,1,NA,0.5,"negligible"
"org.freehep.math.minuit.MnFunctionCross",1,1,NA,0.5,"negligible"
"org.apache.bcel.util.Class2HTML",1,1,NA,0.5,"negligible"
"weka.classifiers.bayes.net.search.ci.ICSSearchAlgorithm",1,0.995867768595041,0.420721568469363,0.522727272727273,"negligible"
"org.apache.bcel.generic.ConstantPoolGen",1,1,NA,0.5,"negligible"
"okio.Utf8",1,1,NA,0.5,"negligible"
"org.apache.commons.jxpath.ri.model.beans.PropertyIterator",1,1,NA,0.5,"negligible"
"okhttp3.HttpUrl",1,1,NA,0.5,"negligible"
"org.apache.commons.imaging.formats.tiff.TiffField",1,1,NA,0.5,"negligible"
"okio.SegmentedByteString",1,1,NA,0.5,"negligible"
"com.alibaba.fastjson.parser.DefaultJSONParser",1,1,NA,0.5,"negligible"
"accessories.plugins.time.JDayChooser",1,1,NA,0.5,"negligible"
"wheel.asm.ClassWriter",1,1,NA,0.5,"negligible"
"com.google.re2j.RE2",0.980208656043062,0.986008397613879,0.470471796728064,0.441860465116279,"negligible"
"okio.Timeout",1,1,NA,0.5,"negligible"
"org.apache.commons.imaging.common.RationalNumber",1,1,NA,0.5,"negligible"
"com.alibaba.fastjson.JSONArray",0.98468075439784,0.95436304017679,0.207637633907588,0.607558139534884,"small"
"okio.ByteString",1,1,NA,0.5,"negligible"
"org.firebirdsql.encodings.EncodingFactory",1,1,NA,0.5,"negligible"
"weka.core.FindWithCapabilities",1,0.997777777777778,0.653095114932182,0.511111111111111,"negligible"
"org.apache.commons.jxpath.util.MethodLookupUtils",1,1,NA,0.5,"negligible"
"us.codecraft.webmagic.model.PageModelExtractor",1,1,NA,0.5,"negligible"
"weka.gui.beans.Filter",1,1,NA,0.5,"negligible"
"umd.cs.shop.JSPredicateForm",0.995614035087719,0.990068534263581,0.36883415695727,0.559210526315789,"negligible"
"com.google.re2j.Utils",1,1,NA,0.5,"negligible"
"okhttp3.CacheControl",1,1,NA,0.5,"negligible"
"org.apache.bcel.verifier.structurals.InstConstraintVisitor",1,1,NA,0.5,"negligible"
"com.google.gson.stream.JsonReader",1,0.999151567443198,0.415441684451661,0.525,"negligible"
"org.databene.jdbacl.SQLUtil",1,0.999458874458874,0.64175808934232,0.511904761904762,"negligible"
"wheel.asm.ClassReader",1,1,NA,0.5,"negligible"
"okio.RealBufferedSink",1,1,NA,0.5,"negligible"
"org.javathena.login.Login",0.992857142857143,0.998917748917749,0.0758089001555726,0.438311688311688,"negligible"
"com.google.gson.internal.LinkedHashTreeMap",1,1,NA,0.5,"negligible"
"umd.cs.shop.JSJshop",1,0.998,0.609205613270168,0.51,"negligible"
"wheel.util.DynamicSelectModel",1,0.995771935147685,0.376936112914627,0.530612244897959,"negligible"
"com.google.re2j.Compiler",0.85,0.869918699186992,0.637980327045752,0.454878048780488,"negligible"
"us.codecraft.webmagic.utils.DoubleKeyMap",1,1,NA,0.5,"negligible"
"com.google.re2j.CharClass",0.995867768595041,0.996234905445432,0.959752466001599,0.496411483253589,"negligible"
"org.mozilla.javascript.Parser",0.874458180708181,0.887418019618947,0.582751517284509,0.448405253283302,"negligible"
"okio.Okio",0.996825396825397,0.998809523809524,0.47735958005953,0.479365079365079,"negligible"
"org.objectweb.asm.jip.MethodWriter",1,1,NA,0.5,"negligible"
"com.google.re2j.Regexp",0.608809523809524,0.663455149501661,0.334265532714389,0.415503875968992,"small"
"com.pmdesigns.jvc.tools.JVCParser",1,0.992509157509157,0.226257718900904,0.54,"negligible"
"org.databene.jdbacl.DBUtil",0.99456309751217,0.990838042934711,0.904775946413107,0.509966777408638,"negligible"
"org.freehep.math.minuit.MnAlgebraicSymMatrix",1,1,NA,0.5,"negligible"
"com.google.re2j.Simplify",0.654761904761905,0.727642276422764,0.523372821341979,0.445121951219512,"negligible"
"org.apache.commons.imaging.formats.tiff.write.TiffImageWriterBase",1,1,NA,0.5,"negligible"
"com.alibaba.fastjson.util.ASMUtils",1,1,NA,0.5,"negligible"
"com.alibaba.fastjson.util.IOUtils",1,0.99700876306033,0.386669383261151,0.534883720930233,"negligible"
"org.la4j.decomposition.EigenDecompositor",1,1,NA,0.5,"negligible"
"org.jsecurity.web.DefaultWebSecurityManager",1,0.998611111111111,0.619796388494133,0.511111111111111,"negligible"
"org.apache.commons.imaging.formats.bmp.BmpImageParser",1,1,NA,0.5,"negligible"
"com.alibaba.fastjson.serializer.DateCodec",1,1,NA,0.5,"negligible"
"com.google.re2j.Parser",0.928205128205128,0.935487528344671,0.897971328216491,0.510989010989011,"negligible"
"weka.classifiers.Evaluation",1,1,NA,0.5,"negligible"
"okio.Buffer",0.999135695764909,0.999722838137472,0.421506407955159,0.474671669793621,"negligible"
"us.codecraft.webmagic.Site",1,1,NA,0.5,"negligible"
"okhttp3.internal.tls.OkHostnameVerifier",1,1,NA,0.5,"negligible"
"com.google.re2j.Unicode",1,1,NA,0.5,"negligible"
"umd.cs.shop.JSState",1,1,NA,0.5,"negligible"
"us.codecraft.webmagic.Spider",0.953869047619048,0.968401405357927,0.791857490811325,0.444444444444444,"negligible"
"okhttp3.internal.tls.DistinguishedNameParser",1,1,NA,0.5,"negligible"
"com.alibaba.fastjson.util.TypeUtils",0.998626373626374,0.999361430395913,0.594292106060769,0.480295566502463,"negligible"
"okio.Segment",1,1,NA,0.5,"negligible"
"com.google.gson.internal.LinkedTreeMap",1,1,NA,0.5,"negligible"
"com.google.gson.internal.bind.ReflectiveTypeAdapterFactory",1,1,NA,0.5,"negligible"
"org.la4j.linear.ForwardBackSubstitutionSolver",1,1,NA,0.5,"negligible"
"org.freehep.math.minuit.MnMinos",1,0.99861673414305,0.313915751206867,0.539473684210526,"negligible"
"com.soops.CEN4010.JMCA.JParser.JavaParserTokenManager",1,1,NA,0.5,"negligible"
"org.la4j.decomposition.SingularValueDecompositor",1,1,NA,0.5,"negligible"
"weka.classifiers.CheckClassifier",1,0.999047619047619,0.562833753917326,0.511904761904762,"negligible"
"com.alibaba.fastjson.serializer.StringCodec",1,1,NA,0.5,"negligible"
"org.la4j.matrix.dense.Basic1DMatrix",1,1,NA,0.5,"negligible"
"com.soops.CEN4010.JMCA.JParser.JavaCharStream",1,0.998655913978495,0.631975997812463,0.516129032258065,"negligible"
"com.alibaba.fastjson.parser.JSONLexerBase",1,1,NA,0.5,"negligible"
"org.la4j.matrix.sparse.CRSMatrix",1,1,NA,0.5,"negligible"
