"class","non-adaptive","adynamosa","p-value","d","magnitude"
"com.werken.saxpath.XPathLexer",0.38169014084507,0.382379382679053,1,0.5,"negligible"
"okhttp3.internal.http.HttpHeaders",0.43687707641196,0.440237966468361,0.495049418885607,0.441029900332226,"negligible"
"umd.cs.shop.JSTerm",0.670150987224158,0.670325203252032,0.484894290202264,0.446428571428571,"negligible"
"com.pmdesigns.jvc.tools.JVCParserTokenManager",0.5,0.5,NA,0.5,"negligible"
"com.alibaba.fastjson.parser.JSONReaderScanner",0.595,0.662804878048781,0.00000837499470594395,0.11219512195122,"large"
"wheel.asm.FieldWriter",0.4,0.4,NA,0.5,"negligible"
"org.apache.commons.jxpath.ri.compiler.Path",0.930272108843538,0.934662236987818,0.148809707962104,0.4078073089701,"small"
"org.la4j.linear.GaussianSolver",0.666666666666667,0.666666666666667,NA,0.5,"negligible"
"weka.classifiers.functions.supportVector.RegSMO",0.393548387096774,0.412563667232598,0.0135732959677666,0.3,"medium"
"org.freehep.math.minuit.MnLineSearch",0.5,0.5,NA,0.5,"negligible"
"com.alibaba.fastjson.util.JavaBeanInfo",0.440318302387268,0.446316614420063,0.00313945676957848,0.31993006993007,"medium"
"org.firebirdsql.jdbc.FBProcedureCall",0.711607142857143,0.724350649350649,0.120628673007347,0.371448863636364,"small"
"org.freehep.math.minuit.SimplexBuilder",0.804761904761905,0.804651162790698,1,0.500830564784053,"negligible"
"org.freehep.math.minuit.MnHesse",0.412545787545788,0.412321720832359,0.73378913895688,0.467198581560284,"negligible"
"okio.RealBufferedSource",0.330011074197121,0.403508771929825,0.000682310568719148,0.18984962406015,"large"
"org.freehep.math.minuit.MnFunctionCross",0.5,0.5,NA,0.5,"negligible"
"org.apache.bcel.util.Class2HTML",0.444444444444444,0.441975308641975,0.604505437105478,0.511111111111111,"negligible"
"weka.classifiers.bayes.net.search.ci.ICSSearchAlgorithm",0.404761904761905,0.446428571428571,0.0051273372803394,0.263636363636364,"medium"
"org.apache.bcel.generic.ConstantPoolGen",0.426373626373626,0.430662020905923,0.369657027722233,0.419324577861163,"small"
"okio.Utf8",0.666666666666667,0.666666666666667,NA,0.5,"negligible"
"org.apache.commons.jxpath.ri.model.beans.PropertyIterator",0.557029177718833,0.567323481116585,0.175017396026183,0.392857142857143,"small"
"okhttp3.HttpUrl",0.398496240601504,0.427471116816431,0.000247267006694107,0.1698606271777,"large"
"org.apache.commons.imaging.formats.tiff.TiffField",0.787644787644788,0.78978978978979,0.345475792878894,0.423809523809524,"small"
"okio.SegmentedByteString",0.278711484593838,0.334017327861377,0.0000000142531647740511,0.00332225913621262,"large"
"com.alibaba.fastjson.parser.DefaultJSONParser",0.418367346938776,0.446003401360544,0.0985108966560832,0.316666666666667,"medium"
"accessories.plugins.time.JDayChooser",0.357608695652174,0.363478260869565,0.508034538335067,0.423214285714286,"small"
"wheel.asm.ClassWriter",0.443356643356643,0.45296442687747,0.184876528436774,0.382107023411371,"small"
"com.google.re2j.RE2",0.617250673854447,0.613426941641071,0.108168910891733,0.634551495016611,"small"
"okio.Timeout",0.599624060150376,0.596710526315789,0.526168477756143,0.545535714285714,"negligible"
"org.apache.commons.imaging.common.RationalNumber",0.906666666666667,0.906666666666667,NA,0.5,"negligible"
"com.alibaba.fastjson.JSONArray",0.332191780821918,0.432303281299777,0.00000020377655842113,0.0566860465116279,"large"
"okio.ByteString",0.50536398467433,0.515637530072173,0.00183512714242644,0.231007751937985,"large"
"org.firebirdsql.encodings.EncodingFactory",0.48,0.48,NA,0.5,"negligible"
"weka.core.FindWithCapabilities",0.630402384500745,0.530418943533698,0.000000331243139652873,0.997979797979798,"large"
"org.apache.commons.jxpath.util.MethodLookupUtils",0.554901960784314,0.569852941176471,0.234732160879201,0.3975,"small"
"us.codecraft.webmagic.model.PageModelExtractor",0.416666666666667,0.416666666666667,NA,0.5,"negligible"
"weka.gui.beans.Filter",0.556390977443609,0.551435406698565,0.491137966509821,0.560876623376623,"negligible"
"umd.cs.shop.JSPredicateForm",0.418181818181818,0.447846889952153,0.00194935193482372,0.236842105263158,"large"
"com.google.re2j.Utils",0.72,0.72,NA,0.5,"negligible"
"okhttp3.CacheControl",0.786989795918367,0.807491289198606,0.00416142055126794,0.25,"large"
"org.apache.bcel.verifier.structurals.InstConstraintVisitor",1,1,NA,0.5,"negligible"
"com.google.gson.stream.JsonReader",0.493303571428571,0.571875,0.000470771775896442,0.185714285714286,"large"
"org.databene.jdbacl.SQLUtil",0.554158607350097,0.574721377912867,0.0000522365021801697,0.116883116883117,"large"
"wheel.asm.ClassReader",0.496153846153846,0.533928571428571,0.0881611086881119,0.31043956043956,"medium"
"okio.RealBufferedSink",0.492063492063492,0.490842490842491,0.00000000404736373434764,0.0512820512820513,"large"
"org.javathena.login.Login",0.288461538461538,0.282925407925408,0.372464374748782,0.578733766233766,"small"
"com.google.gson.internal.LinkedHashTreeMap",0.542986425339366,0.533613445378151,0.453319528656089,0.567503924646782,"negligible"
"umd.cs.shop.JSJshop",0.18452380952381,0.185714285714286,0.825717917474585,0.483333333333333,"negligible"
"wheel.util.DynamicSelectModel",0.487912087912088,0.559766763848397,0.00539241454233572,0.253532182103611,"large"
"com.google.re2j.Compiler",0.5,0.5,NA,0.5,"negligible"
"us.codecraft.webmagic.utils.DoubleKeyMap",0.541666666666667,0.506666666666667,0.26298577515357,0.605555555555556,"small"
"com.google.re2j.CharClass",0.457142857142857,0.457142857142857,NA,0.5,"negligible"
"org.mozilla.javascript.Parser",0.432692307692308,0.428048780487805,0.396131997087802,0.572232645403377,"negligible"
"okio.Okio",0.407692307692308,0.413003663003663,0.283792099691545,0.422222222222222,"small"
"org.objectweb.asm.jip.MethodWriter",0.670995670995671,0.713095238095238,0.000017011556808568,0.138636363636364,"large"
"com.google.re2j.Regexp",0.816666666666667,0.767441860465116,0.0303810389053743,0.665891472868217,"medium"
"com.pmdesigns.jvc.tools.JVCParser",0.574074074074074,0.571111111111111,0.794421548343595,0.513333333333333,"negligible"
"org.databene.jdbacl.DBUtil",0.142016806722689,0.172457820337437,0.000000680453296002136,0.0564784053156146,"large"
"org.freehep.math.minuit.MnAlgebraicSymMatrix",0.548295454545454,0.551282051282051,0.534490766810189,0.466346153846154,"negligible"
"com.google.re2j.Simplify",1,1,NA,0.5,"negligible"
"org.apache.commons.imaging.formats.tiff.write.TiffImageWriterBase",0.6,0.6,NA,0.5,"negligible"
"com.alibaba.fastjson.util.ASMUtils",0.333333333333333,0.333333333333333,NA,0.5,"negligible"
"com.alibaba.fastjson.util.IOUtils",0.65564738292011,0.666666666666667,0.0000517642449289529,0.318181818181818,"medium"
"org.la4j.decomposition.EigenDecompositor",0.6,0.6,NA,0.5,"negligible"
"org.jsecurity.web.DefaultWebSecurityManager",0.363395225464191,0.378544061302682,0.0000234451438493161,0.28034188034188,"medium"
"org.apache.commons.imaging.formats.bmp.BmpImageParser",0.0432098765432099,0.0512178845512179,0.639864885315932,0.486486486486487,"negligible"
"com.alibaba.fastjson.serializer.DateCodec",0.6,0.6,NA,0.5,"negligible"
"com.google.re2j.Parser",0.569230769230769,0.566666666666667,0.926112740117423,0.506410256410256,"negligible"
