"class","dynamosa","adynamosa","p-value","d","magnitude"
"org.fixsuite.message.Library",2.33333333333333,7.10810810810811,0.000000000000173631044937154,0.0148995148995149,"large"
"net.kencochrane.a4j.file.FileUtil",501.723404255319,509.977272727273,0.460129990139547,0.454787234042553,"negligible"
"net.kencochrane.a4j.DAO.Product",1164.29268292683,1202.39024390244,0.149258320519653,0.407198096371208,"small"
"wheel.asm.Frame",184.181818181818,156.590909090909,0.0000215299453388915,0.763171487603306,"large"
"weka.classifiers.rules.JRip",292.844444444444,366.414634146341,0.0000213826206423799,0.233333333333333,"large"
"org.apache.commons.math3.ode.AbstractIntegrator",46.5116279069767,55.2380952380952,0.0117569402051402,0.341085271317829,"small"
"org.apache.commons.math3.ode.nonstiff.EmbeddedRungeKuttaIntegrator",34.1282051282051,41.6,0.0000743995938026601,0.248433048433048,"large"
"wheel.components.Component",213.7,211.560975609756,0.548538296374966,0.539024390243902,"negligible"
"org.firebirdsql.jdbc.FBCachedFetcher",566.45652173913,564.536585365854,0.496328636750437,0.457317073170732,"negligible"
"org.apache.commons.imaging.common.itu_t4.T4AndT6Compression",257,284.372093023256,0.0166439902254274,0.35068710359408,"small"
"org.apache.bcel.classfile.Utility",223.53488372093,230.777777777778,0.378424928688931,0.445219638242894,"negligible"
"weka.filters.unsupervised.attribute.Discretize",517.048780487805,571.022727272727,0.034035836463392,0.366130820399113,"small"
"org.apache.commons.math3.ode.nonstiff.GraggBulirschStoerIntegrator",23.0425531914894,32.4883720930233,0.0000000000223638055741305,0.0905492330529441,"large"
"org.apache.commons.imaging.common.mylzw.MyLzwCompressor",2.25581395348837,3.59574468085106,0.000000000159218107879381,0.124690747154874,"large"
"weka.core.Optimization",338.551724137931,401.607142857143,0.00618561751785897,0.288177339901478,"medium"
"org.apache.commons.imaging.common.mylzw.MyLzwDecompressor",61.8809523809524,54.5476190476191,0.0246227166241747,0.642573696145125,"small"
"wheel.json.JSONObject",393.825,503.65306122449,0.0000000753105465558009,0.167091836734694,"large"
"weka.core.stemmers.LovinsStemmer",332.720930232558,422.095238095238,0.000000304685510252291,0.17718715393134,"large"
"org.apache.commons.math3.ode.MultistepIntegrator",270,345.829268292683,0.0000640761694983863,0.24330755502677,"large"
"com.werken.saxpath.XPathLexer",1056.94736842105,1113.76595744681,0.246901546428793,0.426371780515118,"small"
"okhttp3.internal.http.HttpHeaders",1370.10869565217,1242.95348837209,0.0557465181533015,0.618048533872599,"small"
