"class","dynamosa","pdynamosa","p-value","d","magnitude"
"org.fixsuite.message.Library",0.995726495726496,1,0.343283918228662,0.487179487179487,"negligible"
"net.kencochrane.a4j.file.FileUtil",0.963441404930767,0.963834776334776,0.396430380680918,0.45889748549323,"negligible"
"net.kencochrane.a4j.DAO.Product",1,1,NA,0.5,"negligible"
"wheel.asm.Frame",0.99931129476584,0.99931129476584,1,0.5,"negligible"
"weka.classifiers.rules.JRip",0.862007168458781,0.86191974822974,0.742527215682681,0.51869918699187,"negligible"
"org.apache.commons.math3.ode.AbstractIntegrator",0.524742087777583,0.51843895452918,0.0221099811191021,0.642303433001107,"small"
"org.apache.commons.math3.ode.nonstiff.EmbeddedRungeKuttaIntegrator",0.927601809954751,0.93202614379085,0.530070494234393,0.473219373219373,"negligible"
"wheel.components.Component",0.732210401891253,0.804647408176209,0.000000000888538621624444,0.104268292682927,"large"
"org.firebirdsql.jdbc.FBCachedFetcher",1,1,NA,0.5,"negligible"
"org.apache.commons.imaging.common.itu_t4.T4AndT6Compression",1,1,NA,0.5,"negligible"
"org.apache.bcel.classfile.Utility",0.918735301802979,0.919017894298793,0.73895869076239,0.520671834625323,"negligible"
"weka.filters.unsupervised.attribute.Discretize",0.806707317073171,0.807102272727273,0.830237270048625,0.486973392461197,"negligible"
"org.apache.commons.math3.ode.nonstiff.GraggBulirschStoerIntegrator",0.918209450124344,0.92237994563576,0.386703319402262,0.447798119742702,"negligible"
"org.apache.commons.imaging.common.mylzw.MyLzwCompressor",1,1,NA,0.5,"negligible"
"weka.core.Optimization",0.254901960784314,0.254901960784314,NA,0.5,"negligible"
"org.apache.commons.imaging.common.mylzw.MyLzwDecompressor",1,1,NA,0.5,"negligible"
"wheel.json.JSONObject",0.875236966824645,0.876487087726086,0.217994197695117,0.434438775510204,"negligible"
"weka.core.stemmers.LovinsStemmer",1,1,NA,0.5,"negligible"
"org.apache.commons.math3.ode.MultistepIntegrator",0.441114982578397,0.441114982578397,0.841697764154105,0.489589530041642,"negligible"
"com.werken.saxpath.XPathLexer",0.939473684210526,0.942553191489362,0.46569025153796,0.469204927211646,"negligible"
"okhttp3.internal.http.HttpHeaders",0.432458299152311,0.43176831943835,0.260289967882054,0.554853387259858,"negligible"
