"class","dynamosa","adynamosa","p-value","d","magnitude"
"org.fixsuite.message.Library",18.8717948717949,40.5675675675676,0.0021632186762611,0.328828828828829,"medium"
"net.kencochrane.a4j.file.FileUtil",300.085106382979,307.090909090909,0.00952290588222478,0.342117988394584,"small"
"net.kencochrane.a4j.DAO.Product",10.3170731707317,10.6829268292683,0.267284035035534,0.433372992266508,"negligible"
"wheel.asm.Frame",1242.5,836.590909090909,0.000134336269204319,0.736570247933884,"medium"
"weka.classifiers.rules.JRip",408.666666666667,387.69512195122,0.000101271678738237,0.74390243902439,"large"
"org.apache.commons.math3.ode.AbstractIntegrator",245.116279069767,213.666666666667,0.000345467005419088,0.725636766334441,"medium"
"org.apache.commons.math3.ode.nonstiff.EmbeddedRungeKuttaIntegrator",76.5641025641026,76.3777777777778,0.583398376856493,0.535042735042735,"negligible"
"wheel.components.Component",1686.325,1219.80487804878,0.000000000000191843426142269,0.975,"large"
"org.firebirdsql.jdbc.FBCachedFetcher",280.478260869565,283.207317073171,0.12145439092616,0.596765641569459,"small"
"org.apache.commons.imaging.common.itu_t4.T4AndT6Compression",175.863636363636,172.372093023256,0.222742588611682,0.576109936575053,"small"
"org.apache.bcel.classfile.Utility",2857.79069767442,1465.75555555556,0.219602042029506,0.576227390180879,"small"
"weka.filters.unsupervised.attribute.Discretize",410.146341463415,374.045454545455,0.000546068654010436,0.718126385809313,"medium"
"org.apache.commons.math3.ode.nonstiff.GraggBulirschStoerIntegrator",198,190.441860465116,0.525723628367137,0.539089559623949,"negligible"
"org.apache.commons.imaging.common.mylzw.MyLzwCompressor",89.8372093023256,52.7659574468085,0.00484154107200968,0.672191984166254,"medium"
"weka.core.Optimization",77.448275862069,82.1071428571429,0.00280404750341991,0.269704433497537,"medium"
"org.apache.commons.imaging.common.mylzw.MyLzwDecompressor",75.8809523809524,66.3095238095238,0.000000464286796787395,0.819444444444444,"large"
"wheel.json.JSONObject",656.575,539.714285714286,0.000000133777877949219,0.826275510204082,"large"
"weka.core.stemmers.LovinsStemmer",142.325581395349,149.214285714286,0.00000952853265998554,0.221207087486157,"large"
"org.apache.commons.math3.ode.MultistepIntegrator",69.0487804878049,69.6829268292683,0.752031431990918,0.520523497917906,"negligible"
"com.werken.saxpath.XPathLexer",510.894736842105,554.787234042553,0.0000139395703188103,0.224524076147816,"large"
"okhttp3.internal.http.HttpHeaders",180.326086956522,177.395348837209,0.302639452269172,0.563700707785642,"negligible"
"umd.cs.shop.JSTerm",438.307692307692,390.625,0.00000126566312888172,0.816987179487179,"large"
"com.pmdesigns.jvc.tools.JVCParserTokenManager",372.911111111111,365.073170731707,0.421269598881734,0.550677506775068,"negligible"
"com.alibaba.fastjson.parser.JSONReaderScanner",250.418604651163,197.975609756098,0.0000000000000204113785880964,0.984968803176404,"large"
"wheel.asm.FieldWriter",98.4888888888889,83.2325581395349,0.000000124638430113509,0.827390180878553,"large"
"org.apache.commons.jxpath.ri.compiler.Path",585.022727272727,440.744186046512,0.000000000000032852209460297,0.972515856236786,"large"
"org.la4j.linear.GaussianSolver",73.7727272727273,53.9444444444444,0.00000518027994961578,0.924242424242424,"large"
