"class","dynamosa","pdynamosa","p-value","d","magnitude"
"org.fixsuite.message.Library",1,1,NA,0.5,"negligible"
"net.kencochrane.a4j.file.FileUtil",1,1,NA,0.5,"negligible"
"net.kencochrane.a4j.DAO.Product",1,1,NA,0.5,"negligible"
"wheel.asm.Frame",1,1,NA,0.5,"negligible"
"weka.classifiers.rules.JRip",0.982716049382716,0.963075880758808,0.000000140799483702698,0.820867208672087,"large"
"org.apache.commons.math3.ode.AbstractIntegrator",0.695652173913043,0.69047619047619,0.0210202061700022,0.55952380952381,"negligible"
"org.apache.commons.math3.ode.nonstiff.EmbeddedRungeKuttaIntegrator",1,0.991666666666667,0.105600927268026,0.533333333333333,"negligible"
"wheel.components.Component",0.993718592964824,0.998896923642603,0.00000316648064419331,0.240853658536585,"large"
"org.firebirdsql.jdbc.FBCachedFetcher",1,1,NA,0.5,"negligible"
"org.apache.commons.imaging.common.itu_t4.T4AndT6Compression",1,1,NA,0.5,"negligible"
"org.apache.bcel.classfile.Utility",0.891304347826087,0.891304347826087,NA,0.5,"negligible"
"weka.filters.unsupervised.attribute.Discretize",1,1,NA,0.5,"negligible"
"org.apache.commons.math3.ode.nonstiff.GraggBulirschStoerIntegrator",1,1,NA,0.5,"negligible"
"org.apache.commons.imaging.common.mylzw.MyLzwCompressor",0.75,0.75,NA,0.5,"negligible"
"weka.core.Optimization",0.5,0.5,NA,0.5,"negligible"
"org.apache.commons.imaging.common.mylzw.MyLzwDecompressor",1,1,NA,0.5,"negligible"
"wheel.json.JSONObject",0.95,0.95,NA,0.5,"negligible"
"weka.core.stemmers.LovinsStemmer",1,1,NA,0.5,"negligible"
"org.apache.commons.math3.ode.MultistepIntegrator",0.666666666666667,0.666666666666667,NA,0.5,"negligible"
"com.werken.saxpath.XPathLexer",1,1,NA,0.5,"negligible"
"okhttp3.internal.http.HttpHeaders",1,1,NA,0.5,"negligible"
"umd.cs.shop.JSTerm",1,1,NA,0.5,"negligible"
"com.pmdesigns.jvc.tools.JVCParserTokenManager",1,1,NA,0.5,"negligible"
"com.alibaba.fastjson.parser.JSONReaderScanner",1,1,NA,0.5,"negligible"
"wheel.asm.FieldWriter",1,1,NA,0.5,"negligible"
"org.apache.commons.jxpath.ri.compiler.Path",1,1,NA,0.5,"negligible"
"org.la4j.linear.GaussianSolver",1,1,NA,0.5,"negligible"
"weka.classifiers.functions.supportVector.RegSMO",1,1,NA,0.5,"negligible"
"org.freehep.math.minuit.MnLineSearch",1,1,NA,0.5,"negligible"
"com.alibaba.fastjson.util.JavaBeanInfo",1,1,NA,0.5,"negligible"
"org.firebirdsql.jdbc.FBProcedureCall",0.944444444444444,0.944444444444444,NA,0.5,"negligible"
"org.freehep.math.minuit.SimplexBuilder",1,1,NA,0.5,"negligible"
"org.freehep.math.minuit.MnHesse",1,1,NA,0.5,"negligible"
"okio.RealBufferedSource",0.990881458966565,1,0.0540931242637933,0.452380952380952,"negligible"
"org.freehep.math.minuit.MnFunctionCross",1,1,NA,0.5,"negligible"
"org.apache.bcel.util.Class2HTML",1,1,NA,0.5,"negligible"
"weka.classifiers.bayes.net.search.ci.ICSSearchAlgorithm",1,0.997835497835498,0.164559663870073,0.522727272727273,"negligible"
"org.apache.bcel.generic.ConstantPoolGen",1,1,NA,0.5,"negligible"
"okio.Utf8",1,1,NA,0.5,"negligible"
"org.apache.commons.jxpath.ri.model.beans.PropertyIterator",1,1,NA,0.5,"negligible"
"okhttp3.HttpUrl",0.997248211337369,0.994133991972831,0.017749045498493,0.619300106044539,"small"
"org.apache.commons.imaging.formats.tiff.TiffField",1,1,NA,0.5,"negligible"
"okio.SegmentedByteString",1,1,NA,0.5,"negligible"
"com.alibaba.fastjson.parser.DefaultJSONParser",1,1,NA,0.5,"negligible"
"accessories.plugins.time.JDayChooser",0.986295313881521,0.986206896551724,0.962798766581935,0.502564102564103,"negligible"
"wheel.asm.ClassWriter",1,1,NA,0.5,"negligible"
"com.google.re2j.RE2",1,1,NA,0.5,"negligible"
