"class","dynamosa","adynamosa","p-value","d","magnitude"
"org.fixsuite.message.Library",0.384615384615385,0.400491400491401,0.10527324242036,0.412681912681913,"small"
"net.kencochrane.a4j.file.FileUtil",0.271115409413282,0.273760330578512,0.582465160805514,0.533607350096712,"negligible"
"net.kencochrane.a4j.DAO.Product",0.975609756097561,0.939024390243902,0.242485707575629,0.536585365853659,"negligible"
"wheel.asm.Frame",0.625,0.590909090909091,0.443100903623497,0.534090909090909,"negligible"
"weka.classifiers.rules.JRip",0.298924731182796,0.31733543141883,0.0000102704620716191,0.22710027100271,"large"
"org.apache.commons.math3.ode.AbstractIntegrator",0.269889840881273,0.270676691729323,0.962627208512209,0.503045404208195,"negligible"
"org.apache.commons.math3.ode.nonstiff.EmbeddedRungeKuttaIntegrator",0.566239316239316,0.601851851851852,0.16081387347126,0.413105413105413,"small"
"wheel.components.Component",0.290112994350282,0.283726057599559,0.161872070165476,0.590548780487805,"small"
"org.firebirdsql.jdbc.FBCachedFetcher",0.955745341614907,0.942508710801394,0.132305329366602,0.552226935312831,"negligible"
"org.apache.commons.imaging.common.itu_t4.T4AndT6Compression",0.502840909090909,0.515503875968992,0.150363702224093,0.416754756871036,"small"
"org.apache.bcel.classfile.Utility",0.54671562627499,0.54307992202729,0.41592922296042,0.550129198966408,"negligible"
"weka.filters.unsupervised.attribute.Discretize",0.525406504065041,0.530618686868687,0.448470344961082,0.452605321507761,"negligible"
"org.apache.commons.math3.ode.nonstiff.GraggBulirschStoerIntegrator",1,1,NA,0.5,"negligible"
"org.apache.commons.imaging.common.mylzw.MyLzwCompressor",0.627906976744186,0.652482269503546,0.197570861525461,0.46313706086096,"negligible"
"weka.core.Optimization",0.0952380952380952,0.0952380952380952,NA,0.5,"negligible"
"org.apache.commons.imaging.common.mylzw.MyLzwDecompressor",0.666666666666667,0.642857142857143,0.0819664232206008,0.535714285714286,"negligible"
"wheel.json.JSONObject",0.566339869281046,0.567827130852341,0.745126071345338,0.47984693877551,"negligible"
"weka.core.stemmers.LovinsStemmer",0.444444444444444,0.444444444444444,NA,0.5,"negligible"
"org.apache.commons.math3.ode.MultistepIntegrator",0.568780487804878,0.619512195121951,0.00430422873632093,0.32004759071981,"medium"
"com.werken.saxpath.XPathLexer",0.381393624907339,0.382379382679053,0.460451035552738,0.465005599104143,"negligible"
"okhttp3.internal.http.HttpHeaders",0.439838220424671,0.440237966468361,0.955005881498743,0.496461071789687,"negligible"
"umd.cs.shop.JSTerm",0.669376693766938,0.670325203252032,0.926850174168757,0.494871794871795,"negligible"
"com.pmdesigns.jvc.tools.JVCParserTokenManager",0.5,0.5,NA,0.5,"negligible"
"com.alibaba.fastjson.parser.JSONReaderScanner",0.672674418604651,0.662804878048781,0.282852645251412,0.567498581962564,"negligible"
"wheel.asm.FieldWriter",0.4,0.4,NA,0.5,"negligible"
