BranchCoverage,CoveredMethodCall,Covered_Goals,ExceptionCoverage,Fitness_Evaluations,Generations,InputCoverage,Length,LineCoverage,Lines,LoopCounter,MethodCall,MethodCoverage,MutationScore,ObjectsInstantiations,OutputCoverage,Random_Seed,Size,StatementCounter,StatementCovered,Statements_Executed,TARGET_CLASS,TestExecutionTime,Tests_Executed,Total_Branches,Total_Time,WeakMutationScore,configuration_id,criterion
0.6547619047619048,14470.0,439,1.0,1918,1910,0.3383458646616541,,0.6956521739130435,25,7777.0,98.0,0.6956521739130435,0.2806122448979592,0.0,0.18421052631578946,1000,27,0.0,29680.0,158630,org.apache.commons.math3.ode.AbstractIntegrator,383,10668,64,265718,0.8858695652173914,dynamosa-1.0.6,BRANCH;LINE;WEAKMUTATION;INPUT;OUTPUT;EXCEPTION;CBRANCH;METHOD
0.504,0.0,1339,1.0,8146,8138,0.6626984126984127,,0.7002801120448179,25,73.0,167.0,1.0,0.1350164654226125,0.0,0.07575757575757576,1001,73,0.0,0.0,925490,net.kencochrane.a4j.file.FileUtil,19,44347,124,207396,0.8683628318584071,dynamosa-1.0.6,BRANCH;LINE;WEAKMUTATION;INPUT;OUTPUT;EXCEPTION;CBRANCH;METHOD
0.7272727272727273,6057.0,1317,1.0,58,50,0.5974025974025974,,0.8311688311688312,13,137686.0,72.0,1.0,0.043171114599686033,0.0,1.0,1002,23,0.0,373547.0,5059,org.apache.commons.math3.ode.nonstiff.GraggBulirschStoerIntegrator,892,304,238,769706,0.9108635097493036,dynamosa-1.0.6,BRANCH;LINE;WEAKMUTATION;INPUT;OUTPUT;EXCEPTION;CBRANCH;METHOD
0.75,7.0,378,1.0,345,337,0.8333333333333334,,0.7764705882352941,15,8734.0,26.0,1.0,0.0,0.0,0.0,1002,7,0.0,9277.0,13204,org.apache.commons.imaging.common.mylzw.MyLzwDecompressor,76,1834,34,201518,0.8551236749116607,dynamosa-1.0.6,BRANCH;LINE;WEAKMUTATION;INPUT;OUTPUT;EXCEPTION;CBRANCH;METHOD
0.725,2994.0,2154,1.0,3670,3662,0.2364066193853428,,0.7282728272827282,205,967.0,763.0,0.9396984924623116,0.2504145936981758,1790.0,0.1751412429378531,1003,233,0.0,7019.0,105458,wheel.components.Component,158,19956,310,387896,0.6291739894551845,dynamosa-1.0.6,BRANCH;LINE;WEAKMUTATION;INPUT;OUTPUT;EXCEPTION;CBRANCH;METHOD
0.791970802919708,2803.0,1452,1.0,4151,4143,0.6987951807228916,,0.8934624697336562,17,15511.0,58.0,1.0,0.12947494033412887,0.0,0.375,1004,51,5.0,46141.0,283811,org.apache.commons.imaging.common.itu_t4.T4AndT6Compression,279,22787,274,270976,0.8116129032258065,dynamosa-1.0.6,BRANCH;LINE;WEAKMUTATION;INPUT;OUTPUT;EXCEPTION;CBRANCH;METHOD
0.5084745762711864,23.0,565,1.0,5984,5976,0.4666666666666667,,0.5759493670886076,25,33.0,150.0,0.9545454545454546,0.5714285714285714,0.0,0.75,1005,33,0.0,43.0,302818,org.firebirdsql.jdbc.FBCachedFetcher,12,33104,108,204633,0.9193083573487032,dynamosa-1.0.6,BRANCH;LINE;WEAKMUTATION;INPUT;OUTPUT;EXCEPTION;CBRANCH;METHOD
0.2692307692307692,0.0,1117,1.0,5968,5960,0.5645161290322581,,0.3546099290780142,74,101.0,301.0,0.9722222222222222,0.22123893805309736,0.0,0.25806451612903225,1006,88,0.0,26.0,390015,weka.classifiers.rules.JRip,32,32586,362,256773,0.5186304128902316,dynamosa-1.0.6,BRANCH;LINE;WEAKMUTATION;INPUT;OUTPUT;EXCEPTION;CBRANCH;METHOD
0.25961538461538464,0.0,1062,1.0,5684,5676,0.4354838709677419,,0.3333333333333333,74,95.0,272.0,0.9583333333333334,0.2094395280235989,0.0,0.24731182795698925,1007,82,27.0,26.0,368685,weka.classifiers.rules.JRip,22,31674,362,254307,0.4964753272910373,dynamosa-1.0.6,BRANCH;LINE;WEAKMUTATION;INPUT;OUTPUT;EXCEPTION;CBRANCH;METHOD
0.0967741935483871,0.0,44,1.0,8192,8184,1.0,,0.3064516129032258,2,4.0,9.0,1.0,0.4,0.0,1.0,1008,4,0.0,0.0,1108288,net.kencochrane.a4j.DAO.Product,2,45208,30,188056,0.5333333333333333,dynamosa-1.0.6,BRANCH;LINE;WEAKMUTATION;INPUT;OUTPUT;EXCEPTION;CBRANCH;METHOD
0.8666666666666667,420.0,280,1.0,2362,2354,0.2857142857142857,,0.9438202247191012,18,24.0,42.0,0.6666666666666666,0.3011583011583012,0.0,0.32,1008,15,0.0,54.0,99131,org.apache.commons.math3.ode.MultistepIntegrator,38,12894,14,209994,0.8633093525179856,dynamosa-1.0.6,BRANCH;LINE;WEAKMUTATION;INPUT;OUTPUT;EXCEPTION;CBRANCH;METHOD
0.8223140495867769,1317.0,1373,1.0,805,797,0.5584415584415584,,0.8701298701298701,13,69786.0,69.0,1.0,0.08948194662480377,0.0,1.0,1009,23,0.0,149820.0,71946,org.apache.commons.math3.ode.nonstiff.GraggBulirschStoerIntegrator,557,4425,238,287067,0.9150417827298052,dynamosa-1.0.6,BRANCH;LINE;WEAKMUTATION;INPUT;OUTPUT;EXCEPTION;CBRANCH;METHOD
0.5705967976710334,975.0,1176,1.0,1073,1065,0.8787878787878788,,0.3019323671497585,15,2021.0,346.0,1.0,0.06362237044638276,0.0,0.5,1010,94,38.0,19221.0,43030,wheel.asm.Frame,478,5730,686,275291,0.32588699080157685,dynamosa-1.0.6,BRANCH;LINE;WEAKMUTATION;INPUT;OUTPUT;EXCEPTION;CBRANCH;METHOD
0.5953420669577875,2733.0,1207,1.0,1455,1447,0.8484848484848485,,0.3140096618357488,15,5559.0,399.0,1.0,0.06259620318111853,0.0,0.5,1011,109,36.0,29181.0,60268,wheel.asm.Frame,557,7960,686,279647,0.328515111695138,dynamosa-1.0.6,BRANCH;LINE;WEAKMUTATION;INPUT;OUTPUT;EXCEPTION;CBRANCH;METHOD
0.48,0.0,1341,1.0,6484,6476,0.5873015873015873,,0.6694677871148459,25,57.0,134.0,1.0,0.15477497255762898,0.0,0.19393939393939394,1011,57,0.0,0.0,702321,net.kencochrane.a4j.file.FileUtil,25,35675,124,208220,0.8550884955752213,dynamosa-1.0.6,BRANCH;LINE;WEAKMUTATION;INPUT;OUTPUT;EXCEPTION;CBRANCH;METHOD
0.6939252336448598,934.0,1051,1.0,4501,4493,1.0,,0.8847926267281107,10,6067.0,143.0,1.0,0.7192307692307692,0.0,0.4444444444444444,1012,73,0.0,111119.0,506166,weka.core.stemmers.LovinsStemmer,177,24606,422,248009,0.9192307692307692,dynamosa-1.0.6,BRANCH;LINE;WEAKMUTATION;INPUT;OUTPUT;EXCEPTION;CBRANCH;METHOD
0.08258928571428571,0.0,413,1.0,7881,7873,0.2058823529411765,,0.09193548387096774,20,121.0,38.0,0.5,0.13550420168067226,0.0,0.09523809523809523,1013,16,5.0,238.0,496031,weka.core.Optimization,77,42808,434,206684,0.2688984881209503,dynamosa-1.0.6,BRANCH;LINE;WEAKMUTATION;INPUT;OUTPUT;EXCEPTION;CBRANCH;METHOD
0.7292576419213974,1945.0,1757,1.0,1035,1027,0.7878787878787878,,0.6183574879227053,15,1292.0,273.0,1.0,0.06952283222165212,0.0,0.5,1013,75,27.0,127567.0,43098,wheel.asm.Frame,424,5512,686,274112,0.633377135348226,dynamosa-1.0.6,BRANCH;LINE;WEAKMUTATION;INPUT;OUTPUT;EXCEPTION;CBRANCH;METHOD
0.472,0.0,1316,1.0,7885,7877,0.5714285714285714,,0.6666666666666666,25,66.0,158.0,0.96,0.12843029637760706,0.0,0.18484848484848485,1014,66,0.0,0.0,879511,net.kencochrane.a4j.file.FileUtil,33,43207,124,209326,0.831858407079646,dynamosa-1.0.6,BRANCH;LINE;WEAKMUTATION;INPUT;OUTPUT;EXCEPTION;CBRANCH;METHOD
0.9354838709677421,0.0,318,1.0,1343,1335,0.6470588235294118,,0.9629629629629628,9,42625.0,51.0,1.0,0.6148148148148148,0.0,0.4166666666666667,1015,16,0.0,133924.0,152883,org.apache.commons.math3.ode.nonstiff.EmbeddedRungeKuttaIntegrator,470,7435,54,254224,0.9863013698630136,dynamosa-1.0.6,BRANCH;LINE;WEAKMUTATION;INPUT;OUTPUT;EXCEPTION;CBRANCH;METHOD
0.8823529411764706,27533.0,602,1.0,37,29,1.0,,0.9454545454545454,19,21090.0,66.0,0.75,0.07157894736842105,87464.0,0.6666666666666666,1016,7,116.0,97321.0,1222,org.apache.commons.imaging.common.mylzw.MyLzwCompressor,2217,143,44,463325,0.9642058165548101,dynamosa-1.0.6,BRANCH;LINE;WEAKMUTATION;INPUT;OUTPUT;EXCEPTION;CBRANCH;METHOD
0.5169491525423728,31.0,587,1.0,4843,4835,0.4666666666666667,,0.6582278481012658,25,23.0,139.0,1.0,0.5238095238095238,0.0,0.6785714285714286,1016,23,0.0,64.0,326989,org.firebirdsql.jdbc.FBCachedFetcher,8,26834,108,213259,0.936599423631124,dynamosa-1.0.6,BRANCH;LINE;WEAKMUTATION;INPUT;OUTPUT;EXCEPTION;CBRANCH;METHOD
