no,project,class,MOSA-cov,pMOSA-cov,p-value-1,d-1,magnitude-1,MOSA-mut,pMOSA-mut,p-value-2,d-2,magnitude-2
1,a4j,net.kencochrane.a4j.DAO.Product,0.10,0.10,nan,0.50,N,0.16,0.07,0.00,0.97,L
2,a4j,net.kencochrane.a4j.file.FileUtil,0.52,0.70,0.00,0.00,L,0.06,0.10,0.00,0.05,L
3,bcel,org.apache.bcel.classfile.Utility,0.88,0.90,0.00,0.07,L,0.35,0.46,0.00,0.03,L
4,bcel,org.apache.bcel.generic.ConstantPoolGen,0.82,0.86,0.00,0.24,L,0.53,0.46,0.00,0.93,L
5,bcel,org.apache.bcel.util.Class2HTML,0.83,0.85,0.00,0.01,L,0.23,0.35,0.00,0.24,L
7,byuic,org.mozilla.javascript.Parser,0.42,0.47,0.00,0.01,L,0.08,0.10,0.00,0.23,L
8,fastjson,com.alibaba.fastjson.JSONArray,0.99,0.98,0.16,0.62,S,0.21,0.29,0.00,0.24,L
9,fastjson,com.alibaba.fastjson.parser.DefaultJSONParser,0.37,0.46,0.00,0.07,L,0.15,0.10,0.00,0.90,L
10,fastjson,com.alibaba.fastjson.parser.JSONLexerBase,0.33,0.40,0.00,0.15,L,0.01,0.10,0.00,0.00,L
11,fastjson,com.alibaba.fastjson.parser.JSONReaderScanner,0.83,0.93,0.00,0.00,L,0.05,0.20,0.00,0.00,L
12,fastjson,com.alibaba.fastjson.serializer.DateCodec,0.65,0.72,0.00,0.14,L,0.63,0.46,0.00,0.98,L
14,fastjson,com.alibaba.fastjson.util.ASMUtils,0.44,0.65,0.00,0.00,L,0.39,0.28,0.00,1.00,L
17,fastjson,com.alibaba.fastjson.util.TypeUtils,0.50,0.68,0.00,0.00,L,0.10,0.22,0.00,0.00,L
18,firebird,org.firebirdsql.encodings.EncodingFactory,0.96,0.99,0.00,0.00,L,0.37,0.26,0.00,1.00,L
20,firebird,org.firebirdsql.jdbc.FBProcedureCall,0.90,0.92,0.00,0.14,L,0.52,0.62,0.00,0.16,L
22,freehep,org.freehep.math.minuit.MnAlgebraicSymMatrix,0.93,0.98,0.00,0.00,L,0.15,0.23,0.00,0.16,L
25,freehep,org.freehep.math.minuit.MnLineSearch,0.97,0.99,0.00,0.00,L,0.16,0.10,0.00,0.87,L
28,freemind,accessories.plugins.time.JDayChooser,0.81,0.85,0.00,0.03,L,0.03,0.18,0.00,0.01,L
31,gson,com.google.gson.internal.LinkedTreeMap,0.83,0.91,0.00,0.05,L,0.33,0.35,0.03,0.32,M
33,gson,com.google.gson.stream.JsonReader,0.59,0.64,0.00,0.24,L,0.03,0.07,0.00,0.09,L
35,image,org.apache.commons.imaging.common.itu_t4.T4AndT6Compression,0.83,0.87,0.00,0.00,L,0.04,0.19,0.00,0.01,L
37,image,org.apache.commons.imaging.common.mylzw.MyLzwDecompressor,0.93,0.89,0.08,0.65,S,0.34,0.17,0.00,0.93,L
38,image,org.apache.commons.imaging.formats.bmp.BmpImageParser,0.29,0.30,0.00,0.17,L,0.02,0.01,0.02,0.69,M
