"class","MOSA","PREF-CRIT","p-value","d","magnitude"
"com.google.re2j.Simplify",0.655392156862745,0.67843137254902,0.583461496497881,0.458333333333333,"negligible"
"org.databene.jdbacl.DBUtil",0.349238578680203,0.422335025380711,0.00000531461071276352,0.157777777777778,"large"
"net.kencochrane.a4j.file.FileUtil",0.518666666666667,0.552,0.0000000000487193372219212,0.0238888888888889,"large"
"okio.Utf8",0.444444444444444,0.444444444444444,NA,0.5,"negligible"
"org.la4j.decomposition.SingularValueDecompositor",0.941941391941392,0.943223443223443,0.949908636880351,0.504444444444444,"negligible"
"org.apache.bcel.classfile.Utility",0.879002911208151,0.87627365356623,0.386630968311598,0.565555555555556,"negligible"
"com.soops.CEN4010.JMCA.JParser.JavaCharStream",0.915586419753086,0.904938271604938,0.241868372119296,0.588333333333333,"small"
"com.google.re2j.Utils",0.980769230769231,0.980769230769231,NA,0.5,"negligible"
"wheel.util.DynamicSelectModel",0.826666666666667,0.785833333333333,0.313252665236112,0.571666666666667,"negligible"
"com.alibaba.fastjson.parser.DefaultJSONParser",0.371760649538427,0.366509366509366,0.265959479780993,0.595238095238095,"small"
"org.apache.commons.jxpath.ri.compiler.Path",0.915857605177994,0.906148867313916,0.335898705083632,0.571666666666667,"negligible"
"org.firebirdsql.gds.impl.wire.AbstractJavaGDSImpl",0.26650641025641,0.281538461538462,0.00175666304915738,0.264444444444444,"medium"
"com.pmdesigns.jvc.tools.JVCParserTokenManager",0.301783958421127,0.288987217305801,0.515342289446536,0.549444444444444,"negligible"
"okio.Buffer",0.827862954558034,0.851096843231675,0.011262217384301,0.307471264367816,"medium"
"com.google.gson.internal.LinkedHashTreeMap",0.772773536895674,0.791094147582697,0.283604064779184,0.418888888888889,"small"
"org.la4j.matrix.sparse.CCSMatrix",0.850670365233472,0.860086299892125,0.950248295023317,0.494642857142857,"negligible"
"org.freehep.math.minuit.SimplexBuilder",0.905454545454545,0.918181818181818,0.0123880014493918,0.326111111111111,"medium"
"okhttp3.internal.tls.OkHostnameVerifier",0.166666666666667,0.166666666666667,NA,0.5,"negligible"
"okio.ByteString",0.967624521072797,0.972495894909688,0.127905368231043,0.385119047619048,"small"
"umd.cs.shop.JSJshop",0.420760233918129,0.670760233918129,0.00000051912103395614,0.122777777777778,"large"
"com.alibaba.fastjson.parser.JSONLexerBase",0.334114403859407,0.328934068458534,0.42036050474944,0.561111111111111,"negligible"
"org.apache.commons.math3.ode.AbstractIntegrator",0.652709359605911,0.690873015873016,0.126882085270105,0.38448275862069,"small"
"us.codecraft.webmagic.Page",0.653061224489796,0.653061224489796,NA,0.5,"negligible"
"org.jsecurity.web.DefaultWebSecurityManager",0.726865671641791,0.714925373134328,0.0219699620810805,0.646666666666667,"small"
"okio.SegmentedByteString",0.95650406504065,0.952032520325203,0.181031305265692,0.594444444444444,"small"
"wheel.asm.FieldWriter",0.990804597701149,0.98448275862069,0.27654598620872,0.561111111111111,"negligible"
