"class","MOSA","aMOSA","p-value","d","magnitude"
"com.google.re2j.Simplify",0.655392156862745,0.78921568627451,0.00594581245566288,0.260185185185185,"large"
"org.databene.jdbacl.DBUtil",0.349238578680203,0.472645234066554,0.000000291867076094665,0.0537037037037037,"large"
"net.kencochrane.a4j.file.FileUtil",0.518666666666667,0.696,0.000000000867350604442386,0,"large"
"okio.Utf8",0.444444444444444,0.444444444444444,NA,0.5,"negligible"
"org.la4j.decomposition.SingularValueDecompositor",0.941941391941392,0.944749694749695,0.531791703754036,0.45462962962963,"negligible"
"org.apache.bcel.classfile.Utility",0.879002911208151,0.903808830664726,0.000000635750412078782,0.0666666666666667,"large"
"com.soops.CEN4010.JMCA.JParser.JavaCharStream",0.915586419753086,0.945473251028807,0.000501191970405723,0.197222222222222,"large"
"com.google.re2j.Utils",0.980769230769231,0.980769230769231,NA,0.5,"negligible"
"wheel.util.DynamicSelectModel",0.826666666666667,0.852777777777778,0.337315362902042,0.416666666666667,"small"
"com.alibaba.fastjson.parser.DefaultJSONParser",0.371760649538427,0.461191961191961,0.0000137666226016514,0.0698005698005698,"large"
"org.apache.commons.jxpath.ri.compiler.Path",0.915857605177994,0.919093851132686,0.618792363704726,0.456481481481481,"negligible"
"org.firebirdsql.gds.impl.wire.AbstractJavaGDSImpl",0.26650641025641,0.348985042735043,0.00000000938842754957627,0,"large"
"com.pmdesigns.jvc.tools.JVCParserTokenManager",0.301783958421127,0.342715195067314,0.0363352279575713,0.320175438596491,"medium"
"okio.Buffer",0.827862954558034,0.909014108304469,0.000000008012980640808,0.00272232304900181,"large"
"com.google.gson.internal.LinkedHashTreeMap",0.772773536895674,0.81378063479309,0.0453137318290366,0.328070175438597,"medium"
"org.la4j.matrix.sparse.CCSMatrix",0.850670365233472,0.928802588996764,0.00000540712862389014,0.025974025974026,"large"
"org.freehep.math.minuit.SimplexBuilder",0.905454545454545,0.958585858585859,0.00000000839122601303358,0.0101851851851852,"large"
"okhttp3.internal.tls.OkHostnameVerifier",0.166666666666667,0.227272727272727,0.00000000000775738902142755,0,"large"
"okio.ByteString",0.967624521072797,0.971902937420179,0.218469817285647,0.394444444444444,"small"
"umd.cs.shop.JSJshop",0.420760233918129,0.518467220683287,0.000666861342479348,0.208771929824561,"large"
"com.alibaba.fastjson.parser.JSONLexerBase",0.334114403859407,0.395589248793935,0.0000243089773374102,0.151851851851852,"large"
"org.apache.commons.math3.ode.AbstractIntegrator",0.652709359605911,0.710526315789474,0.000271268587298742,0.186932849364791,"large"
"us.codecraft.webmagic.Page",0.653061224489796,0.637454981992797,0.0000524635104946855,0.735294117647059,"medium"
"org.jsecurity.web.DefaultWebSecurityManager",0.726865671641791,0.850746268656716,0.000000000247421954395371,0,"large"
"okio.SegmentedByteString",0.95650406504065,0.946084724005135,0.0119530937743027,0.700877192982456,"medium"
"wheel.asm.FieldWriter",0.990804597701149,0.994252873563218,0.838822692338451,0.512962962962963,"negligible"
"okio.Timeout",0.925,0.95,0.00000000000775738902142755,0,"large"
"org.apache.commons.jxpath.ri.model.beans.PropertyIterator",0.92156862745098,0.970072239422085,0.00000000794763687375097,0.0105263157894737,"large"
"org.apache.commons.jxpath.ri.parser.XPathParserTokenManager",0.432804995196926,0.393244617731819,0.156475682267091,0.626470588235294,"small"
"org.firebirdsql.encodings.EncodingFactory",0.964102564102564,0.994871794871795,0.00000000000464415498758233,0,"large"
"org.javathena.login.Login",0.479607843137255,0.586274509803922,0.000000394796934003313,0.0583333333333333,"large"
"okio.Okio",0.715384615384615,0.783076923076923,0.000563006473022044,0.21,"large"
"com.google.re2j.Unicode",0.865168539325843,0.887640449438202,0.00000000000464415498758233,0,"large"
"okio.RealBufferedSink",0.884329986905282,0.884077281812125,0.786474392166211,0.477313974591652,"negligible"
"weka.classifiers.functions.supportVector.RegSMO",0.642611683848797,0.652456580291632,0.00609888497291269,0.333486028401283,"medium"
"org.apache.bcel.verifier.structurals.InstConstraintVisitor",0.166135620915033,0.188970588235294,0.00863697632385227,0.278333333333333,"medium"
"com.google.re2j.Compiler",0.845130066545675,0.875243664717349,0.167329758028492,0.378352490421456,"small"
"org.apache.commons.imaging.formats.tiff.write.TiffImageWriterBase",0.627346278317152,0.793050587634134,0.0000000331114994948442,0.0271929824561404,"large"
"com.alibaba.fastjson.serializer.StringCodec",0.751124437781109,0.869565217391304,0.00000305278982519389,0.0957854406130268,"large"
"com.alibaba.fastjson.serializer.DateCodec",0.654824561403509,0.720221606648199,0.0000238153320424243,0.139473684210526,"large"
"org.apache.commons.imaging.formats.bmp.BmpImageParser",0.290717299578059,0.30239099859353,0.000159645178542329,0.172222222222222,"large"
"org.freehep.math.minuit.MnHesse",0.975661375661376,1,0.0000046106591595378,0.15,"large"
"okio.RealBufferedSource",0.781440162271805,0.773148148148148,0.878191868371591,0.514367816091954,"negligible"
"okhttp3.internal.tls.DistinguishedNameParser",0.1260663507109,0.0980294337740085,0.0367482656713567,0.32719298245614,"medium"
"org.la4j.linear.GaussianSolver",0.990683229813665,1,0.163211743150127,0.446428571428571,"negligible"
"weka.classifiers.bayes.net.search.ci.ICSSearchAlgorithm",0.603620474406991,0.608614232209738,0.0234984751770644,0.364912280701754,"small"
"weka.core.FindWithCapabilities",0.712145748987854,0.851327035537562,0.00000000844723755536186,0,"large"
"us.codecraft.webmagic.Spider",0.600223713646532,0.656226696495153,0.000683285551435175,0.20462962962963,"large"
"org.la4j.Matrix",0.822767448948491,0.928756476683938,0.00288233821123731,0.0784313725490196,"large"
"org.la4j.decomposition.EigenDecompositor",0.776947350938382,0.814255369365117,0.00475410640022679,0.252436647173489,"large"
"org.apache.commons.math3.ode.nonstiff.EmbeddedRungeKuttaIntegrator",0.879032258064516,0.974014336917563,0.0000169676495537943,0.127777777777778,"large"
"org.freehep.math.minuit.MnFunctionCross",0.867701863354037,0.969289164941339,0.000000302608289807591,0.0555555555555556,"large"
"wheel.asm.ClassReader",0.490208078335373,0.528892610964375,0.00558982935612173,0.262280701754386,"large"
"weka.classifiers.CheckClassifier",0.684636118598383,0.740341419586703,0.00048858851298834,0.186965811965812,"large"
"com.alibaba.fastjson.parser.JSONReaderScanner",0.833653846153846,0.932186234817814,0.00000000505568643495438,0.00087719298245614,"large"
"org.freehep.math.minuit.MnMinos",0.736742424242424,0.849116161616162,0.00000533879970461065,0.105555555555556,"large"
"org.databene.jdbacl.SQLUtil",0.887234042553191,0.948998748435544,0.0000000372884175340998,0.0127450980392157,"large"
"org.apache.commons.math3.ode.MultistepIntegrator",0.866666666666667,0.861666666666667,0.0322000713641372,0.575,"small"
"fr.unice.gfarce.dao.OracleIdentiteDao",0.475232198142415,0.5,0.0000306016902286062,0.0294117647058824,"large"
"com.google.re2j.RE2",0.944298245614035,0.970221606648199,0.000000012847742437598,0.0385964912280702,"large"
"org.apache.commons.imaging.formats.tiff.TiffField",0.870322580645161,0.916129032258064,0.0000000000327823042836748,0,"large"
"weka.classifiers.Evaluation",0.461557478368356,0.532756489493202,0.000000194685524939965,0.0382352941176471,"large"
"us.codecraft.webmagic.Site",0.891089108910891,0.891089108910891,NA,0.5,"negligible"
"com.google.gson.internal.LinkedTreeMap",0.83380062305296,0.910695742471443,0.0000001830560123638,0.0462962962962963,"large"
"okio.Segment",0.994252873563218,0.987295825771325,0.953273770370731,0.503508771929825,"negligible"
"us.codecraft.webmagic.utils.DoubleKeyMap",1,1,NA,0.5,"negligible"
"org.apache.commons.jxpath.util.MethodLookupUtils",0.930744336569579,0.940605368360937,0.00033901301788263,0.196078431372549,"large"
"com.soops.CEN4010.JMCA.JParser.JavaParserTokenManager",0.465866041788713,0.535149384885764,0.0026743535912121,0.237962962962963,"large"
"com.alibaba.fastjson.util.ASMUtils",0.439393939393939,0.651515151515151,0.00000000000775738902142755,0,"large"
"org.apache.commons.imaging.common.mylzw.MyLzwDecompressor",0.934166666666667,0.892647058823529,0.075042587026786,0.654901960784314,"small"
"com.google.gson.stream.JsonReader",0.585707146426787,0.63836502801231,0.00263874065561636,0.242105263157895,"large"
"com.google.re2j.Regexp",0.77741935483871,0.868704018109791,0.0000027974246625702,0.0991228070175439,"large"
"org.freehep.math.minuit.MnLineSearch",0.965614035087719,0.986549707602339,0.000000000916200067484925,0,"large"
"com.google.re2j.CharClass",0.978840579710145,0.981159420289855,0.390665733588776,0.444444444444444,"negligible"
"org.apache.commons.imaging.common.itu_t4.T4AndT6Compression",0.832481751824818,0.872668288726683,0.0000000113603386986275,0.0037037037037037,"large"
"org.mozilla.javascript.Parser",0.418358141632837,0.47489851150203,0.00000000540457936990153,0.00833333333333333,"large"
"umd.cs.shop.JSState",0.419512195121951,0.464769647696477,0.0000608347961439059,0.172222222222222,"large"
"org.la4j.vector.sparse.CompressedVector",0.925686274509804,0.946439628482972,0.000000000832238204214971,0,"large"
"org.apache.bcel.util.Class2HTML",0.828930817610063,0.851153039832285,0.000000000271491681606981,0.0148148148148148,"large"
"org.apache.commons.imaging.common.mylzw.MyLzwCompressor",0.890196078431373,0.93921568627451,0.000000342120805710714,0.0916666666666667,"large"
"org.la4j.matrix.sparse.CRSMatrix",0.851391585760518,0.932038834951456,0.0000700712715587146,0,"large"
"com.google.gson.internal.bind.ReflectiveTypeAdapterFactory",0.571794871794872,0.676923076923077,0.0000000484451331779754,0.0473684210526316,"large"
"com.alibaba.fastjson.JSONArray",0.990909090909091,0.983664772727273,0.162870760238771,0.619791666666667,"small"
"us.codecraft.webmagic.model.PageModelExtractor",0.23841059602649,0.298013245033113,0.00000000000775738902142755,0,"large"
