no,project,class,MOSA,pMOSA,p-value,d,magnitude,delta
22,a4j,net.kencochrane.a4j.DAO.Product,12.51,5.68,0.00,1.00,L,+0.00
23,a4j,net.kencochrane.a4j.file.FileUtil,107.92,147.68,0.00,0.00,L,+0.17
18,bcel,org.apache.bcel.classfile.Utility,870.37,838.96,0.00,0.67,M,+0.03
19,bcel,org.apache.bcel.generic.ConstantPoolGen,212.91,205.50,0.00,0.78,L,+0.05
20,bcel,org.apache.bcel.util.Class2HTML,53.04,86.51,0.00,0.00,L,+0.02
21,bcel,org.apache.bcel.verifier.structurals.InstConstraintVisitor,399.64,374.31,0.00,0.84,L,+0.01
10,byuic,org.mozilla.javascript.Parser,222.73,246.16,0.00,0.12,L,+0.06
32,fastjson,com.alibaba.fastjson.parser.DefaultJSONParser,272.35,274.22,0.00,0.43,N,+0.09
34,fastjson,com.alibaba.fastjson.parser.JSONReaderScanner,205.01,218.17,0.00,0.00,L,+0.10
35,fastjson,com.alibaba.fastjson.serializer.DateCodec,119.48,79.62,0.00,1.00,L,+0.07
36,fastjson,com.alibaba.fastjson.serializer.StringCodec,45.53,51.14,0.00,0.01,L,+0.13
37,fastjson,com.alibaba.fastjson.util.ASMUtils,56.80,34.08,0.00,1.00,L,+0.21
40,fastjson,com.alibaba.fastjson.util.TypeUtils,294.37,437.68,0.00,0.00,L,+0.18
28,firebird,org.firebirdsql.encodings.EncodingFactory,287.52,90.88,0.00,1.00,L,+0.03
30,firebird,org.firebirdsql.jdbc.FBProcedureCall,204.48,164.99,0.00,1.00,L,+0.03
73,freehep,org.freehep.math.minuit.MnAlgebraicSymMatrix,102.62,90.88,0.00,1.00,L,+0.06
74,freehep,org.freehep.math.minuit.MnFunctionCross,157.18,130.06,0.00,1.00,L,+0.11
75,freehep,org.freehep.math.minuit.MnHesse,123.51,201.58,0.00,0.00,L,+0.02
76,freehep,org.freehep.math.minuit.MnLineSearch,107.92,79.52,0.00,1.00,L,+0.02
77,freehep,org.freehep.math.minuit.MnMinos,193.75,175.79,0.00,1.00,L,+0.12
78,freehep,org.freehep.math.minuit.SimplexBuilder,240.29,88.91,0.00,1.00,L,+0.05
11,freemind,accessories.plugins.time.JDayChooser,145.62,84.46,0.00,0.97,L,+0.03
71,gson,com.google.gson.internal.bind.ReflectiveTypeAdapterFactory,17.04,28.40,0.00,0.00,L,+0.11
101,image,org.apache.commons.imaging.common.RationalNumber,119.28,79.52,0.00,1.00,L,+0.03
62,image,org.apache.commons.imaging.common.itu_t4.T4AndT6Compression,415.49,696.58,0.00,0.00,L,+0.04
63,image,org.apache.commons.imaging.common.mylzw.MyLzwCompressor,34.08,22.72,0.00,1.00,L,+0.04
64,image,org.apache.commons.imaging.common.mylzw.MyLzwDecompressor,51.12,45.44,0.00,1.00,L,-0.07
102,image,org.apache.commons.imaging.formats.bmp.BmpImageParser,136.56,90.93,0.00,1.00,L,+0.02
103,image,org.apache.commons.imaging.formats.tiff.TiffField,216.24,215.47,0.00,0.58,S,+0.05
104,image,org.apache.commons.imaging.formats.tiff.write.TiffImageWriterBase,86.01,113.10,0.00,0.00,L,+0.16
7,javaviewcontrol,com.pmdesigns.jvc.tools.JVCParser,142.00,102.24,0.00,1.00,L,+0.04
8,javaviewcontrol,com.pmdesigns.jvc.tools.JVCParserTokenManager,136.32,250.75,0.00,0.00,L,+0.05
4,jdbacl,org.databene.jdbacl.DBUtil,64.80,78.25,0.00,0.09,L,+0.10
5,jdbacl,org.databene.jdbacl.SQLUtil,158.34,154.61,0.00,0.65,S,+0.06
1,jmca,com.soops.CEN4010.JMCA.JParser.JavaCharStream,374.23,392.24,0.00,0.00,L,+0.04
3,jmca,com.soops.CEN4010.JMCA.JParser.JavaParserTokenManager,488.41,514.32,0.00,0.00,L,+0.11
9,jsecurity,org.jsecurity.web.DefaultWebSecurityManager,180.67,215.73,0.00,0.13,L,+0.12
66,jxpath,org.apache.commons.jxpath.ri.model.beans.PropertyIterator,188.98,151.03,0.00,1.00,L,+0.05
68,jxpath,org.apache.commons.jxpath.util.MethodLookupUtils,145.18,149.43,0.00,0.38,S,+0.01
80,la4j,org.la4j.decomposition.EigenDecompositor,39.82,51.36,0.00,0.00,L,+0.06
82,la4j,org.la4j.linear.ForwardBackSubstitutionSolver,17.06,17.05,0.00,0.48,N,+0.00
83,la4j,org.la4j.linear.GaussianSolver,28.41,17.05,0.00,1.00,L,+0.00
84,la4j,org.la4j.matrix.dense.Basic1DMatrix,193.32,170.75,0.00,1.00,L,+0.04
85,la4j,org.la4j.matrix.sparse.CCSMatrix,267.24,334.13,0.00,0.00,L,+0.07
86,la4j,org.la4j.matrix.sparse.CRSMatrix,416.09,283.73,0.00,1.00,L,+0.07
87,la4j,org.la4j.vector.sparse.CompressedVector,247.59,270.96,0.00,0.07,L,+0.02
57,math,org.apache.commons.math3.ode.AbstractIntegrator,122.63,88.89,0.00,1.00,L,+0.06
58,math,org.apache.commons.math3.ode.MultistepIntegrator,51.35,34.21,0.00,1.00,L,+0.00
59,math,org.apache.commons.math3.ode.nonstiff.EmbeddedRungeKuttaIntegrator,73.44,82.92,0.00,0.00,L,+0.08
60,math,org.apache.commons.math3.ode.nonstiff.GraggBulirschStoerIntegrator,123.40,146.77,0.00,0.00,L,+0.07
96,okhttp,okhttp3.CacheControl,241.75,107.98,0.00,1.00,L,+0.02
97,okhttp,okhttp3.HttpUrl,513.78,604.61,0.00,0.01,L,+0.03
98,okhttp,okhttp3.internal.http.HttpHeaders,119.84,107.94,0.00,1.00,L,+0.05
99,okhttp,okhttp3.internal.tls.DistinguishedNameParser,5.68,5.68,0.02,0.49,N,+0.00
100,okhttp,okhttp3.internal.tls.OkHostnameVerifier,34.53,34.61,0.00,0.73,M,+0.06
46,okio,okio.AsyncTimeout,80.74,83.96,0.00,0.45,N,+0.06
48,okio,okio.ByteString,302.75,251.84,0.00,1.00,L,+0.00
49,okio,okio.Okio,142.01,107.93,0.00,1.00,L,+0.08
50,okio,okio.RealBufferedSink,248.78,164.85,0.00,1.00,L,-0.01
51,okio,okio.RealBufferedSource,312.06,270.46,0.00,1.00,L,-0.03
52,okio,okio.Segment,79.52,68.16,0.00,1.00,L,+0.00
53,okio,okio.SegmentedByteString,181.84,215.15,0.00,0.00,L,-0.01
54,okio,okio.Timeout,107.92,56.80,0.00,1.00,L,+0.02
55,okio,okio.Utf8,28.40,22.72,0.00,1.00,L,+0.00
88,re2j,com.google.re2j.CharClass,176.08,206.02,0.00,0.00,L,+0.00
89,re2j,com.google.re2j.Compiler,136.32,142.00,0.00,0.00,L,+0.03
90,re2j,com.google.re2j.Parser,398.41,491.64,0.00,0.00,L,+0.06
91,re2j,com.google.re2j.RE2,250.33,176.51,0.00,1.00,L,+0.02
93,re2j,com.google.re2j.Simplify,51.13,56.95,0.00,0.00,L,+0.14
94,re2j,com.google.re2j.Unicode,182.11,124.96,0.00,1.00,L,+0.02
14,shop,umd.cs.shop.JSJshop,142.00,107.92,0.00,1.00,L,+0.08
15,shop,umd.cs.shop.JSPredicateForm,119.28,102.24,0.00,1.00,L,+0.16
16,shop,umd.cs.shop.JSState,45.44,34.08,0.00,1.00,L,+0.02
17,shop,umd.cs.shop.JSTerm,244.09,170.96,0.00,1.00,L,+0.06
41,webmagic,us.codecraft.webmagic.Page,153.36,90.88,0.00,1.00,L,+0.00
44,webmagic,us.codecraft.webmagic.model.PageModelExtractor,56.80,39.76,0.00,1.00,L,+0.06
45,webmagic,us.codecraft.webmagic.utils.DoubleKeyMap,39.76,34.08,0.00,1.00,L,+0.00
105,weka,weka.classifiers.CheckClassifier,171.58,199.05,0.00,0.00,L,+0.07
111,weka,weka.core.FindWithCapabilities,222.08,90.99,0.00,1.00,L,+0.14
