"class","MOSA","aMOSA","p-value","d","magnitude"
"com.google.re2j.Simplify",0.233333333333333,0.333333333333333,0.0462193568904524,0.325925925925926,"medium"
"org.databene.jdbacl.DBUtil",0.0311428571428571,0.0325396825396825,0.940498729656247,0.492592592592593,"negligible"
"net.kencochrane.a4j.file.FileUtil",0.0557628979143798,0.10117087449689,0.000000190622123562427,0.0462962962962963,"large"
"okio.Utf8",0.292517006802721,0.235827664399093,0.483593554572899,0.555555555555556,"negligible"
"org.la4j.decomposition.SingularValueDecompositor",0.265853658536585,0.342818428184282,0.00223226287548085,0.233333333333333,"large"
"org.apache.bcel.classfile.Utility",0.348421996272618,0.462313860252005,0.000000000436945447554797,0.0333333333333333,"large"
"com.soops.CEN4010.JMCA.JParser.JavaCharStream",0.0670498084291188,0.227536033570516,0.00000000950143036354695,0,"large"
"com.google.re2j.Utils",0.545914127423823,0.373487388832191,0.00000000528420152456517,1,"large"
"wheel.util.DynamicSelectModel",0.231555555555556,0.144444444444444,0.0316822596853189,0.681481481481481,"medium"
"com.alibaba.fastjson.parser.DefaultJSONParser",0.146009844266925,0.10038545332663,0.0000461592507742992,0.903133903133903,"large"
"org.apache.commons.jxpath.ri.compiler.Path",0.51797385620915,0.551742919389978,0.258449744159454,0.400925925925926,"small"
"org.firebirdsql.gds.impl.wire.AbstractJavaGDSImpl",0,0,NA,0.5,"negligible"
"com.pmdesigns.jvc.tools.JVCParserTokenManager",0.0566103513006168,0.111138163187534,0.000000100897880525994,0.043859649122807,"large"
"okio.Buffer",0.0266782749292621,0.276944615822695,0.0000000230091499620388,0.0181488203266788,"large"
"com.google.gson.internal.LinkedHashTreeMap",0.221748554913295,0.210108001216915,0.0693376498030835,0.656140350877193,"small"
"org.la4j.matrix.sparse.CCSMatrix",0.0238141179017161,0.125562388676885,0.0000464051611432742,0.0746753246753247,"large"
"org.freehep.math.minuit.SimplexBuilder",0.561942257217848,0.555993000874891,0.422185382151269,0.57037037037037,"negligible"
"okhttp3.internal.tls.OkHostnameVerifier",0.065,0.0486111111111111,0.00000000104923632166664,0.944444444444444,"large"
"okio.ByteString",0.353291861067911,0.414679453948505,0.00317649801585528,0.242592592592593,"large"
"umd.cs.shop.JSJshop",0.126412429378531,0.105486173059768,0.02495665449827,0.692105263157895,"medium"
"com.alibaba.fastjson.parser.JSONLexerBase",0.0108449918896999,0.0996341916734253,0.00000000946653295666309,0,"large"
"org.apache.commons.math3.ode.AbstractIntegrator",0.166959887403237,0.185553168635875,0.253164212288795,0.401088929219601,"small"
"us.codecraft.webmagic.Page",0.590534979423868,0.576615831517792,0.100714377103613,0.372549019607843,"small"
"org.jsecurity.web.DefaultWebSecurityManager",0.312525252525253,0.290271132376396,0.161653039877602,0.619298245614035,"small"
"okio.SegmentedByteString",0.218346774193548,0.204619411431805,0.128833195366485,0.630701754385965,"small"
"wheel.asm.FieldWriter",0.352534562211982,0.297491039426523,0.0000464246086737562,0.85462962962963,"large"
"okio.Timeout",0.0979296066252588,0.108350586611456,0.280631066619202,0.405555555555556,"small"
"org.apache.commons.jxpath.ri.model.beans.PropertyIterator",0.209428359317001,0.414605556206775,0.0000000565549496141266,0.0350877192982456,"large"
"org.apache.commons.jxpath.ri.parser.XPathParserTokenManager",0,0,NA,0.5,"negligible"
"org.firebirdsql.encodings.EncodingFactory",0.369767441860465,0.263021895824833,0.0000000064165710141568,0.996491228070175,"large"
"org.javathena.login.Login",0.134864391951006,0.165208515602216,0.00475982146091383,0.253703703703704,"large"
"okio.Okio",0.0687619047619048,0.0522857142857143,0.0000010829909893809,0.9025,"large"
"com.google.re2j.Unicode",0.10315734989648,0.393061457992808,0.00000000861888481633169,0.00701754385964912,"large"
"okio.RealBufferedSink",0.223981191222571,0.204306220095694,0.249054940377067,0.599818511796733,"small"
"weka.classifiers.functions.supportVector.RegSMO",0.0235931460005947,0.0734500948316738,0.0000000000000102393060388483,0.0290884104443426,"large"
"org.apache.bcel.verifier.structurals.InstConstraintVisitor",0.00470562486320858,0.00453053184504268,0.727947589646704,0.53,"negligible"
"com.google.re2j.Compiler",0.122810252627697,0.125371360665478,0.869532931778215,0.484674329501916,"negligible"
"org.apache.commons.imaging.formats.tiff.write.TiffImageWriterBase",0.148376623376623,0.169514695830485,0.175566288198522,0.383333333333333,"small"
"com.alibaba.fastjson.serializer.StringCodec",0.226453937210499,0.206467661691542,0.590426014658539,0.546934865900383,"negligible"
"com.alibaba.fastjson.serializer.DateCodec",0.632407407407407,0.457602339181287,0.0000000137358899545333,0.984210526315789,"large"
"org.apache.commons.imaging.formats.bmp.BmpImageParser",0.015297619047619,0.00625,0.017158636559746,0.690740740740741,"medium"
"org.freehep.math.minuit.MnHesse",0.409885057471264,0.369872958257713,0.0756830738871713,0.652631578947368,"small"
