no,project,class,MOSA,pMOSA,p-value,d,magnitude,delta
22,a4j,net.kencochrane.a4j.DAO.Product,44.58,9.89,0.00,1.00,L,+0.00
23,a4j,net.kencochrane.a4j.file.FileUtil,43.10,67.83,0.00,0.00,L,+0.17
18,bcel,org.apache.bcel.classfile.Utility,197.85,196.96,0.00,0.54,N,+0.03
19,bcel,org.apache.bcel.generic.ConstantPoolGen,51.35,71.09,0.00,0.02,L,+0.05
20,bcel,org.apache.bcel.util.Class2HTML,54.85,90.14,0.00,0.00,L,+0.02
21,bcel,org.apache.bcel.verifier.structurals.InstConstraintVisitor,146.60,102.43,0.00,0.99,L,+0.01
10,byuic,org.mozilla.javascript.Parser,82.74,102.99,0.00,0.02,L,+0.06
32,fastjson,com.alibaba.fastjson.parser.DefaultJSONParser,254.82,196.20,0.00,1.00,L,+0.09
34,fastjson,com.alibaba.fastjson.parser.JSONReaderScanner,49.91,65.92,0.00,0.01,L,+0.10
35,fastjson,com.alibaba.fastjson.serializer.DateCodec,30.64,29.48,0.00,0.71,M,+0.07
36,fastjson,com.alibaba.fastjson.serializer.StringCodec,12.77,42.17,0.00,0.00,L,+0.13
37,fastjson,com.alibaba.fastjson.util.ASMUtils,11.44,9.57,0.00,0.98,L,+0.21
40,fastjson,com.alibaba.fastjson.util.TypeUtils,293.50,809.51,0.00,0.00,L,+0.18
28,firebird,org.firebirdsql.encodings.EncodingFactory,89.54,70.48,0.00,1.00,L,+0.03
30,firebird,org.firebirdsql.jdbc.FBProcedureCall,51.02,38.58,0.00,1.00,L,+0.03
73,freehep,org.freehep.math.minuit.MnAlgebraicSymMatrix,168.18,99.80,0.00,1.00,L,+0.06
74,freehep,org.freehep.math.minuit.MnFunctionCross,738.20,555.61,0.00,1.00,L,+0.11
75,freehep,org.freehep.math.minuit.MnHesse,162.50,279.48,0.00,0.00,L,+0.02
76,freehep,org.freehep.math.minuit.MnLineSearch,151.03,245.90,0.00,0.00,L,+0.02
77,freehep,org.freehep.math.minuit.MnMinos,259.72,504.71,0.00,0.00,L,+0.12
78,freehep,org.freehep.math.minuit.SimplexBuilder,544.41,365.76,0.00,1.00,L,+0.05
11,freemind,accessories.plugins.time.JDayChooser,435.80,420.75,0.00,0.72,M,+0.03
71,gson,com.google.gson.internal.bind.ReflectiveTypeAdapterFactory,22.28,33.37,0.00,0.02,L,+0.11
101,image,org.apache.commons.imaging.common.RationalNumber,30.08,28.56,0.00,0.73,M,+0.03
62,image,org.apache.commons.imaging.common.itu_t4.T4AndT6Compression,83.67,104.08,0.00,0.00,L,+0.04
63,image,org.apache.commons.imaging.common.mylzw.MyLzwCompressor,48.89,27.10,0.00,1.00,L,+0.04
64,image,org.apache.commons.imaging.common.mylzw.MyLzwDecompressor,36.19,33.60,0.00,0.71,M,-0.07
102,image,org.apache.commons.imaging.formats.bmp.BmpImageParser,50.37,21.52,0.00,1.00,L,+0.02
103,image,org.apache.commons.imaging.formats.tiff.TiffField,48.40,56.51,0.00,0.09,L,+0.05
104,image,org.apache.commons.imaging.formats.tiff.write.TiffImageWriterBase,90.54,129.24,0.00,0.00,L,+0.16
7,javaviewcontrol,com.pmdesigns.jvc.tools.JVCParser,63.34,78.10,0.00,0.03,L,+0.04
8,javaviewcontrol,com.pmdesigns.jvc.tools.JVCParserTokenManager,29.91,62.96,0.00,0.00,L,+0.05
4,jdbacl,org.databene.jdbacl.DBUtil,83.55,62.19,0.00,0.89,L,+0.10
5,jdbacl,org.databene.jdbacl.SQLUtil,77.72,79.28,0.00,0.41,S,+0.06
1,jmca,com.soops.CEN4010.JMCA.JParser.JavaCharStream,135.21,110.40,0.00,1.00,L,+0.04
3,jmca,com.soops.CEN4010.JMCA.JParser.JavaParserTokenManager,133.03,126.41,0.00,0.85,L,+0.11
9,jsecurity,org.jsecurity.web.DefaultWebSecurityManager,325.45,433.11,0.00,0.01,L,+0.12
66,jxpath,org.apache.commons.jxpath.ri.model.beans.PropertyIterator,166.13,161.45,0.00,0.62,S,+0.05
68,jxpath,org.apache.commons.jxpath.util.MethodLookupUtils,66.48,96.17,0.00,0.00,L,+0.01
80,la4j,org.la4j.decomposition.EigenDecompositor,127.37,78.29,0.00,1.00,L,+0.06
82,la4j,org.la4j.linear.ForwardBackSubstitutionSolver,5.70,26.55,0.00,0.00,L,+0.00
83,la4j,org.la4j.linear.GaussianSolver,61.81,10.79,0.00,1.00,L,+0.00
84,la4j,org.la4j.matrix.dense.Basic1DMatrix,30.33,81.46,0.00,0.00,L,+0.04
85,la4j,org.la4j.matrix.sparse.CCSMatrix,783.88,959.13,0.00,0.00,L,+0.07
86,la4j,org.la4j.matrix.sparse.CRSMatrix,1212.58,432.24,0.00,1.00,L,+0.07
87,la4j,org.la4j.vector.sparse.CompressedVector,133.90,678.56,0.00,0.00,L,+0.02
57,math,org.apache.commons.math3.ode.AbstractIntegrator,500.18,300.72,0.00,1.00,L,+0.06
58,math,org.apache.commons.math3.ode.MultistepIntegrator,273.57,186.13,0.00,1.00,L,+0.00
59,math,org.apache.commons.math3.ode.nonstiff.EmbeddedRungeKuttaIntegrator,429.90,493.60,0.00,0.02,L,+0.08
60,math,org.apache.commons.math3.ode.nonstiff.GraggBulirschStoerIntegrator,421.24,504.32,0.00,0.00,L,+0.07
96,okhttp,okhttp3.CacheControl,36.35,18.04,0.00,1.00,L,+0.02
97,okhttp,okhttp3.HttpUrl,159.50,180.01,0.00,0.02,L,+0.03
98,okhttp,okhttp3.internal.http.HttpHeaders,24.61,47.28,0.00,0.00,L,+0.05
100,okhttp,okhttp3.internal.tls.OkHostnameVerifier,78.69,110.86,0.00,0.00,L,+0.06
46,okio,okio.AsyncTimeout,13.99,15.09,0.00,0.15,L,+0.06
48,okio,okio.ByteString,118.89,152.39,0.00,0.00,L,+0.00
49,okio,okio.Okio,75.93,29.83,0.00,1.00,L,+0.08
50,okio,okio.RealBufferedSink,124.60,27.64,0.00,1.00,L,-0.01
51,okio,okio.RealBufferedSource,111.39,113.68,0.00,0.39,S,-0.03
52,okio,okio.Segment,14.70,13.02,0.00,0.96,L,+0.00
53,okio,okio.SegmentedByteString,78.82,86.83,0.00,0.15,L,-0.01
54,okio,okio.Timeout,17.98,11.52,0.00,1.00,L,+0.02
55,okio,okio.Utf8,7.28,6.52,0.00,0.91,L,+0.00
88,re2j,com.google.re2j.CharClass,99.50,71.53,0.00,0.99,L,+0.00
90,re2j,com.google.re2j.Parser,96.45,125.24,0.00,0.00,L,+0.06
91,re2j,com.google.re2j.RE2,66.96,46.89,0.00,1.00,L,+0.02
93,re2j,com.google.re2j.Simplify,22.32,17.66,0.00,0.98,L,+0.14
94,re2j,com.google.re2j.Unicode,24.79,21.66,0.00,0.95,L,+0.02
15,shop,umd.cs.shop.JSPredicateForm,22.19,21.15,0.00,0.77,L,+0.16
16,shop,umd.cs.shop.JSState,9.88,15.60,0.00,0.00,L,+0.02
17,shop,umd.cs.shop.JSTerm,35.80,40.79,0.00,0.05,L,+0.06
41,webmagic,us.codecraft.webmagic.Page,21.99,17.17,0.00,1.00,L,+0.00
44,webmagic,us.codecraft.webmagic.model.PageModelExtractor,19.50,20.68,0.00,0.30,M,+0.06
45,webmagic,us.codecraft.webmagic.utils.DoubleKeyMap,21.00,37.66,0.00,0.00,L,+0.00
105,weka,weka.classifiers.CheckClassifier,866.71,902.51,0.00,0.31,M,+0.07
111,weka,weka.core.FindWithCapabilities,16183.81,52.63,0.00,1.00,L,+0.14
112,weka,weka.gui.beans.Filter,246.11,441.50,0.00,0.00,L,+0.09
